Long Station Name,Short Station Name,Station Number,Sample Code,Collection Date,Analyte,CAS Reg. Number,Result,Rpt Limit,Units,Method,Depth,Matrix,Purpose,Parent Sample,Description,Notes
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0594A0822,05/26/1994 06:00,"Bromoform",75252,< R.L.,5,?g/L,"DWR THMFP (Buffered)",1 Meters,"Water, Natural",Normal Sample,0,"C940822"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0594A0822,05/26/1994 06:00,"Dissolved Calcium",7440702,13,1,mg/L,"EPA 215.1",1 Meters,"Water, Natural",Normal Sample,0,"C940822"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0594A0822,05/26/1994 06:00,"Dissolved Chloride",16887006,7,1,mg/L,"EPA 325.2",1 Meters,"Water, Natural",Normal Sample,0,"C940822"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0594A0822,05/26/1994 06:00,"Chloroform",67663,160,10,?g/L,"DWR THMFP (Buffered)",1 Meters,"Water, Natural",Normal Sample,0,"C940822"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0594A0822,05/26/1994 06:00,"Color",0,10,5,Color Units,"EPA 110.2",1 Meters,"Water, Natural",Normal Sample,0,"C940822"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0594A0822,05/26/1994 06:00,"Conductance (EC)",0,170,1,?S/cm,"EPA 120.1",1 Meters,"Water, Natural",Normal Sample,0,"C940822"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0594A0822,05/26/1994 06:00,"Dissolved Copper",7440508,< R.L.,0.005,mg/L,"EPA 220.2 (D)",1 Meters,"Water, Natural",Normal Sample,0,"C940822"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0594A0822,05/26/1994 06:00,"Dibromochloromethane",124481,< R.L.,5,?g/L,"DWR THMFP (Buffered)",1 Meters,"Water, Natural",Normal Sample,0,"C940822"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0594A0822,05/26/1994 06:00,"Hardness",0,66,1,mg/L as CaCO3,"Std Method 2340 B",1 Meters,"Water, Natural",Normal Sample,0,"C940822"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0594A0822,05/26/1994 06:00,"Dissolved Magnesium",7439954,8,1,mg/L,"EPA 242.1",1 Meters,"Water, Natural",Normal Sample,0,"C940822"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0594A0822,05/26/1994 06:00,"Dissolved Organic Carbon",0,1.5,0.1,mg/L as C,"EPA 415.1 (D) Ox",1 Meters,"Water, Natural",Normal Sample,0,"C940822"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0594A0822,05/26/1994 06:00,"Dissolved Potassium",7440097,1.1,0.1,mg/L,"EPA 258.1",1 Meters,"Water, Natural",Normal Sample,0,"C940822"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0594A0822,05/26/1994 06:00,"Dissolved Selenium",7782492,< R.L.,0.001,mg/L,"EPA 270.3 (D)",1 Meters,"Water, Natural",Normal Sample,0,"C940822"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0594A0822,05/26/1994 06:00,"Dissolved Sodium",7440235,10,1,mg/L,"EPA 273.1",1 Meters,"Water, Natural",Normal Sample,0,"C940822"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0594A0822,05/26/1994 06:00,"Total Dissolved Solids",0,104,1,mg/L,"EPA 160.1",1 Meters,"Water, Natural",Normal Sample,0,"C940822"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0594A0822,05/26/1994 06:00,"Dissolved Sulfate",14808798,7,1,mg/L,"EPA 375.2",1 Meters,"Water, Natural",Normal Sample,0,"C940822"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0594A0822,05/26/1994 06:00,"Turbidity",0,4,1,N.T.U.,"EPA 180.1",1 Meters,"Water, Natural",Normal Sample,0,"C940822"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0594A0822,05/26/1994 06:00,"UV Absorbance @254nm",0,0.037,0.001,absorbance/cm,"Std Method 5910B DWR Modified",1 Meters,"Water, Natural",Normal Sample,0,"C940822"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0594A0822,05/26/1994 06:00,Field Specific Conductance (EC),471341,173,1,?S/cm@25?C,EPA 120.1 (Field),1 Meters,"Water, Natural",Normal Sample,0,"C940822"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0594A0822,05/26/1994 06:00,Field Dissolved Oxygen,471341,8.7,0.1,mg/L,EPA 360.1 (Field),1 Meters,"Water, Natural",Normal Sample,0,"C940822"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0594A0822,05/26/1994 06:00,Field Water Temperature,471341,19.5,0.1,?C,EPA 170.1 (Field),1 Meters,"Water, Natural",Normal Sample,0,"C940822"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0594A0822,05/26/1994 06:00,Field Turbidity,471341,6.5,1,N.T.U.,EPA 180.1 (Field),1 Meters,"Water, Natural",Normal Sample,0,"C940822"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0594A0822,05/26/1994 06:00,Field pH,471341,7.7,0.1,pH Units,EPA 150.1 (Field),1 Meters,"Water, Natural",Normal Sample,0,"C940822"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1069,06/16/1994 06:15,"Total Alkalinity",471341,64,1,mg/L as CaCO3,"EPA 310.1",1 Meters,"Water, Natural",Normal Sample,0,"C941069"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1069,06/16/1994 06:15,"Dissolved Arsenic",7440382,< R.L.,0.001,mg/L,"Std Method 3114 C",1 Meters,"Water, Natural",Normal Sample,0,"C941069"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1069,06/16/1994 06:15,"Dissolved Boron",7440428,< R.L.,0.1,mg/L,"USGS I-2115-85",1 Meters,"Water, Natural",Normal Sample,0,"C941069"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1069,06/16/1994 06:15,"Dissolved Bromide",24959679,0.05,0.01,mg/L,"EPA 300.0 28d Hold",1 Meters,"Water, Natural",Normal Sample,0,"C941069"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1069,06/16/1994 06:15,"Bromodichloromethane",75274,12,10,?g/L,"DWR THMFP (Buffered)",1 Meters,"Water, Natural",Normal Sample,0,"C941069"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1069,06/16/1994 06:15,"Bromoform",75252,< R.L.,5,?g/L,"DWR THMFP (Buffered)",1 Meters,"Water, Natural",Normal Sample,0,"C941069"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1069,06/16/1994 06:15,"Dissolved Calcium",7440702,11,1,mg/L,"EPA 215.1",1 Meters,"Water, Natural",Normal Sample,0,"C941069"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1069,06/16/1994 06:15,"Dissolved Chloride",16887006,7,1,mg/L,"EPA 325.2",1 Meters,"Water, Natural",Normal Sample,0,"C941069"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1069,06/16/1994 06:15,"Chloroform",67663,140,10,?g/L,"DWR THMFP (Buffered)",1 Meters,"Water, Natural",Normal Sample,0,"C941069"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1069,06/16/1994 06:15,"Color",0,15,5,Color Units,"EPA 110.2",1 Meters,"Water, Natural",Normal Sample,0,"C941069"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1069,06/16/1994 06:15,"Conductance (EC)",0,156,1,?S/cm,"EPA 120.1",1 Meters,"Water, Natural",Normal Sample,0,"C941069"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1069,06/16/1994 06:15,"Dissolved Copper",7440508,0.01,0.005,mg/L,"EPA 220.2 (D)",1 Meters,"Water, Natural",Normal Sample,0,"C941069"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1069,06/16/1994 06:15,"Dibromochloromethane",124481,< R.L.,5,?g/L,"DWR THMFP (Buffered)",1 Meters,"Water, Natural",Normal Sample,0,"C941069"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1069,06/16/1994 06:15,"Hardness",0,56,1,mg/L as CaCO3,"Std Method 2340 B",1 Meters,"Water, Natural",Normal Sample,0,"C941069"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1069,06/16/1994 06:15,"Dissolved Magnesium",7439954,7,1,mg/L,"EPA 242.1",1 Meters,"Water, Natural",Normal Sample,0,"C941069"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1069,06/16/1994 06:15,"Dissolved Organic Carbon",0,1.4,0.1,mg/L as C,"EPA 415.1 (D) Ox",1 Meters,"Water, Natural",Normal Sample,0,"C941069"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1069,06/16/1994 06:15,"Dissolved Potassium",7440097,1.1,0.1,mg/L,"EPA 258.1",1 Meters,"Water, Natural",Normal Sample,0,"C941069"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1069,06/16/1994 06:15,"Dissolved Selenium",7782492,< R.L.,0.001,mg/L,"EPA 270.3 (D)",1 Meters,"Water, Natural",Normal Sample,0,"C941069"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1069,06/16/1994 06:15,"Dissolved Sodium",7440235,9,1,mg/L,"EPA 273.1",1 Meters,"Water, Natural",Normal Sample,0,"C941069"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1069,06/16/1994 06:15,"Total Dissolved Solids",0,97,1,mg/L,"EPA 160.1",1 Meters,"Water, Natural",Normal Sample,0,"C941069"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1069,06/16/1994 06:15,"Dissolved Sulfate",14808798,5,1,mg/L,"EPA 375.2",1 Meters,"Water, Natural",Normal Sample,0,"C941069"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1069,06/16/1994 06:15,"Turbidity",0,5,1,N.T.U.,"EPA 180.1",1 Meters,"Water, Natural",Normal Sample,0,"C941069"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1069,06/16/1994 06:15,"UV Absorbance @254nm",0,0.035,0.001,absorbance/cm,"Std Method 5910B DWR Modified",1 Meters,"Water, Natural",Normal Sample,0,"C941069"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1069,06/16/1994 06:15,Field Specific Conductance (EC),471341,199,1,?S/cm@25?C,EPA 120.1 (Field),1 Meters,"Water, Natural",Normal Sample,0,"C941069"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1069,06/16/1994 06:15,Field Dissolved Oxygen,471341,8.2,0.1,mg/L,EPA 360.1 (Field),1 Meters,"Water, Natural",Normal Sample,0,"C941069"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1069,06/16/1994 06:15,Field Water Temperature,471341,19.8,0.1,?C,EPA 170.1 (Field),1 Meters,"Water, Natural",Normal Sample,0,"C941069"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1069,06/16/1994 06:15,Field Turbidity,471341,8.2,1,N.T.U.,EPA 180.1 (Field),1 Meters,"Water, Natural",Normal Sample,0,"C941069"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1069,06/16/1994 06:15,Field pH,471341,7.3,0.1,pH Units,EPA 150.1 (Field),1 Meters,"Water, Natural",Normal Sample,0,"C941069"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1170,06/21/1994 05:45,"Total Alkalinity",471341,60,1,mg/L as CaCO3,"EPA 310.1",1 Meters,"Water, Natural",Normal Sample,0,"C941170"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1170,06/21/1994 05:45,"Dissolved Arsenic",7440382,< R.L.,0.001,mg/L,"Std Method 3114 C",1 Meters,"Water, Natural",Normal Sample,0,"C941170"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1170,06/21/1994 05:45,"Dissolved Boron",7440428,< R.L.,0.1,mg/L,"USGS I-2115-85",1 Meters,"Water, Natural",Normal Sample,0,"C941170"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1170,06/21/1994 05:45,"Dissolved Bromide",24959679,0.06,0.01,mg/L,"EPA 300.0 28d Hold",1 Meters,"Water, Natural",Normal Sample,0,"C941170"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1170,06/21/1994 05:45,"Bromodichloromethane",75274,13,10,?g/L,"DWR THMFP (Buffered)",1 Meters,"Water, Natural",Normal Sample,0,"C941170"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1170,06/21/1994 05:45,"Bromoform",75252,< R.L.,5,?g/L,"DWR THMFP (Buffered)",1 Meters,"Water, Natural",Normal Sample,0,"C941170"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1170,06/21/1994 05:45,"Dissolved Calcium",7440702,11,1,mg/L,"EPA 215.1",1 Meters,"Water, Natural",Normal Sample,0,"C941170"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1170,06/21/1994 05:45,"Dissolved Chloride",16887006,6,1,mg/L,"EPA 325.2",1 Meters,"Water, Natural",Normal Sample,0,"C941170"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1170,06/21/1994 05:45,"Chloroform",67663,140,10,?g/L,"DWR THMFP (Buffered)",1 Meters,"Water, Natural",Normal Sample,0,"C941170"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1170,06/21/1994 05:45,"Color",0,10,5,Color Units,"EPA 110.2",1 Meters,"Water, Natural",Normal Sample,0,"C941170"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1170,06/21/1994 05:45,"Conductance (EC)",0,147,1,?S/cm,"EPA 120.1",1 Meters,"Water, Natural",Normal Sample,0,"C941170"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1170,06/21/1994 05:45,"Dissolved Copper",7440508,< R.L.,0.005,mg/L,"EPA 220.2 (D)",1 Meters,"Water, Natural",Normal Sample,0,"C941170"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1170,06/21/1994 05:45,"Dibromochloromethane",124481,< R.L.,5,?g/L,"DWR THMFP (Buffered)",1 Meters,"Water, Natural",Normal Sample,0,"C941170"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1170,06/21/1994 05:45,"Hardness",0,56,1,mg/L as CaCO3,"Std Method 2340 B",1 Meters,"Water, Natural",Normal Sample,0,"C941170"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1170,06/21/1994 05:45,"Dissolved Magnesium",7439954,7,1,mg/L,"EPA 242.1",1 Meters,"Water, Natural",Normal Sample,0,"C941170"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1170,06/21/1994 05:45,"Dissolved Organic Carbon",0,1.4,0.1,mg/L as C,"EPA 415.1 (D) Ox",1 Meters,"Water, Natural",Normal Sample,0,"C941170"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1170,06/21/1994 05:45,"Dissolved Potassium",7440097,1,0.1,mg/L,"EPA 258.1",1 Meters,"Water, Natural",Normal Sample,0,"C941170"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1170,06/21/1994 05:45,"Dissolved Selenium",7782492,< R.L.,0.001,mg/L,"EPA 270.3 (D)",1 Meters,"Water, Natural",Normal Sample,0,"C941170"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1170,06/21/1994 05:45,"Dissolved Sodium",7440235,8,1,mg/L,"EPA 273.1",1 Meters,"Water, Natural",Normal Sample,0,"C941170"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1170,06/21/1994 05:45,"Total Dissolved Solids",0,90,1,mg/L,"EPA 160.1",1 Meters,"Water, Natural",Normal Sample,0,"C941170"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1170,06/21/1994 05:45,"Dissolved Sulfate",14808798,6,1,mg/L,"EPA 375.2",1 Meters,"Water, Natural",Normal Sample,0,"C941170"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1170,06/21/1994 05:45,"Turbidity",0,3,1,N.T.U.,"EPA 180.1",1 Meters,"Water, Natural",Normal Sample,0,"C941170"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1170,06/21/1994 05:45,"UV Absorbance @254nm",0,0.042,0.001,absorbance/cm,"Std Method 5910B DWR Modified",1 Meters,"Water, Natural",Normal Sample,0,"C941170"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1170,06/21/1994 05:45,Field Specific Conductance (EC),471341,143,1,?S/cm@25?C,EPA 120.1 (Field),1 Meters,"Water, Natural",Normal Sample,0,"C941170"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1170,06/21/1994 05:45,Field Dissolved Oxygen,471341,8.4,0.1,mg/L,EPA 360.1 (Field),1 Meters,"Water, Natural",Normal Sample,0,"C941170"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1170,06/21/1994 05:45,Field Water Temperature,471341,19.6,0.1,?C,EPA 170.1 (Field),1 Meters,"Water, Natural",Normal Sample,0,"C941170"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1170,06/21/1994 05:45,Field Turbidity,471341,8.5,1,N.T.U.,EPA 180.1 (Field),1 Meters,"Water, Natural",Normal Sample,0,"C941170"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0694A1170,06/21/1994 05:45,Field pH,471341,6.6,0.1,pH Units,EPA 150.1 (Field),1 Meters,"Water, Natural",Normal Sample,0,"C941170"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0794A1352,07/19/1994 13:02,"Total Alkalinity",471341,57,1,mg/L as CaCO3,"EPA 310.1",1 Meters,"Water, Natural",Normal Sample,0,"C941352"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0794A1352,07/19/1994 13:02,"Dissolved Arsenic",7440382,< R.L.,0.001,mg/L,"Std Method 3114 C",1 Meters,"Water, Natural",Normal Sample,0,"C941352"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0794A1352,07/19/1994 13:02,"Dissolved Boron",7440428,< R.L.,0.1,mg/L,"USGS I-2115-85",1 Meters,"Water, Natural",Normal Sample,0,"C941352"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0794A1352,07/19/1994 13:02,"Dissolved Bromide",24959679,0.06,0.01,mg/L,"EPA 300.0 28d Hold",1 Meters,"Water, Natural",Normal Sample,0,"C941352"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0794A1352,07/19/1994 13:02,"Bromodichloromethane",75274,10,10,?g/L,"DWR THMFP (Buffered)",1 Meters,"Water, Natural",Normal Sample,0,"C941352"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0794A1352,07/19/1994 13:02,"Bromoform",75252,< R.L.,5,?g/L,"DWR THMFP (Buffered)",1 Meters,"Water, Natural",Normal Sample,0,"C941352"
Sacramento River at W. Sac Intake Structure,SACWSACINT,A0210451,C0794A1352,07/19/1994 13:02,"Dissolved Calcium",7440702,10,1,mg/L,"EPA 215.1",1 Meters,"Water, Natural",Normal Sample,0,"C941352"
