Date,flow ft3/s,NH3 mg/L N,NO3 mg/L N,PO4 mg/L P
1996-03-11,68794.9221356,,,
1996-03-12,70921.7559806,,,
1996-03-13,81382.2272184,,,
1996-03-14,80655.0003718,,,
1996-03-15,76241.0349595,,,
1996-03-16,70904.7343126,,,
1996-03-17,65576.6314937,,,
1996-03-18,59743.7799335,,,
1996-03-19,56155.2631113,,,
1996-03-20,52246.6181018,,,
1996-03-21,48706.7163286,,,
1996-03-22,45279.4551003,,,
1996-03-23,42177.4232543,,,
1996-03-24,38438.4391486,,,
1996-03-25,35781.5574547,,,
1996-03-26,33419.5805271,,,
1996-03-27,31109.2408448,,,
1996-03-28,29799.2092389,,,
1996-03-29,29117.3267785,,,
1996-03-30,28964.1496057,,,
1996-03-31,27656.6485333,0.05211888,0.24576146,0.035306
1996-04-01,29230.9745313,,,
1996-04-02,33595.5301288,,,
1996-04-03,41369.7132855,,,
1996-04-04,43277.5142322,,,
1996-04-05,40767.520864,,,
1996-04-06,38126.5599108,,,
1996-04-07,35175.9749357,,,
1996-04-08,33425.4163644,,,
1996-04-09,32563.3090223,,,
1996-04-10,31384.6019613,,,
1996-04-11,30636.834279,,,
1996-04-12,30285.9733848,,,
1996-04-13,29052.5001514,,,
1996-04-14,28718.3195419,,,
1996-04-15,28036.4093162,,,
1996-04-16,29717.0942096,,,
1996-04-17,31761.0985639,,,
1996-04-18,34563.9561617,,,
1996-04-19,36620.002046,,,
1996-04-20,36796.3676186,,,
1996-04-21,35108.0486014,,,
1996-04-22,33305.4192551,,,
1996-04-23,30435.0986439,,,
1996-04-24,27943.9957739,,,
1996-04-25,25874.8018218,,,
1996-04-26,23719.6596563,,,
1996-04-27,23199.6839461,,,
1996-04-28,22490.5038145,,,
1996-04-29,22317.065672,,,
1996-04-30,21796.7942183,0.06416604,0.2052061,0.035306
1996-05-01,21101.5487295,,,
1996-05-02,20148.733768,,,
1996-05-03,19783.8845785,,,
1996-05-04,20980.0741983,,,
1996-05-05,21067.3987909,,,
1996-05-06,20028.2926369,,,
1996-05-07,17759.8055202,,,
1996-05-08,16027.1678708,,,
1996-05-09,14886.6036328,,,
1996-05-10,13674.9827048,,,
1996-05-11,12621.2650086,,,
1996-05-12,12344.7071737,,,
1996-05-13,12605.4151637,,,
1996-05-14,12847.3740011,,,
1996-05-15,13541.5380332,,,
1996-05-16,22733.0936963,,,
1996-05-17,56595.8787043,,,
1996-05-18,67496.4155343,,,
1996-05-19,71151.4086591,,,
1996-05-20,75595.7908061,,,
1996-05-21,69735.7061802,,,
1996-05-22,62685.9133562,,,
1996-05-23,57776.4221544,,,
1996-05-24,55629.6296151,,,
1996-05-25,54477.5713433,,,
1996-05-26,49869.3448905,,,
1996-05-27,44563.209534,,,
1996-05-28,39082.6489463,,,
1996-05-29,35420.5233106,,,
1996-05-30,32189.588546,,,
1996-05-31,29820.6072682,0.07163664,0.20132522,0.03883606
1996-06-01,28235.382473,,,
1996-06-02,26045.0,,,
1996-06-03,24724.0,,,
1996-06-04,24533.0,,,
1996-06-05,22219.0,,,
1996-06-06,20979.0,,,
1996-06-07,21277.0,,,
1996-06-08,18579.0,,,
1996-06-09,18349.0,,,
1996-06-10,17528.0,,,
1996-06-11,20627.0593209,,,
1996-06-12,16124.9339914,,,
1996-06-13,13536.9914325,,,
1996-06-14,13062.6230976,,,
1996-06-15,11767.0,,,
1996-06-16,10396.0,,,
1996-06-17,10663.0,,,
1996-06-18,9790.0,,,
1996-06-19,10523.510701,,,
1996-06-20,9702.0,,,
1996-06-21,8843.0,,,
1996-06-22,8794.0,,,
1996-06-23,8851.0,,,
1996-06-24,9143.0,,,
1996-06-25,9919.21825051,,,
1996-06-26,9597.74449812,,,
1996-06-27,8735.0,,,
1996-06-28,9347.00407069,,,
1996-06-29,9568.65777895,,,
1996-06-30,10389.7478548,0.07296024,0.13262126,0.03883606
1996-07-01,11039.1179272,,,
1996-07-02,11658.0634689,,,
1996-07-03,11931.5163687,,,
1996-07-04,12184.3371284,,,
1996-07-05,10530.0,,,
1996-07-06,10127.0,,,
1996-07-07,8524.0,,,
1996-07-08,8712.0,,,
1996-07-09,9036.0,,,
1996-07-10,9523.0,,,
1996-07-11,8911.0,,,
1996-07-12,8663.0,,,
1996-07-13,8528.0,,,
1996-07-14,8456.0,,,
1996-07-15,8397.0,,,
1996-07-16,8539.0,,,
1996-07-17,8412.0,,,
1996-07-18,8541.0,,,
1996-07-19,8389.0,,,
1996-07-20,8041.0,,,
1996-07-21,8833.0,,,
1996-07-22,7951.0,,,
1996-07-23,8279.0,,,
1996-07-24,8056.0,,,
1996-07-25,7806.0,,,
1996-07-26,7705.0,,,
1996-07-27,8085.0,,,
1996-07-28,7915.0,,,
1996-07-29,8040.0,,,
1996-07-30,8889.0,,,
1996-07-31,9160.0,0.0748896,0.17517164,0.04236612
1996-08-01,8504.0,,,
1996-08-02,8305.0,,,
1996-08-03,8509.0,,,
1996-08-04,8629.0,,,
1996-08-05,8240.0,,,
1996-08-06,8632.0,,,
1996-08-07,8302.0,,,
1996-08-08,8668.0,,,
1996-08-09,8550.0,,,
1996-08-10,9451.0,,,
1996-08-11,11490.7550705,,,
1996-08-12,10682.0,,,
1996-08-13,11756.0,,,
1996-08-14,10865.0,,,
1996-08-15,10897.0,,,
1996-08-16,9916.0,,,
1996-08-17,9451.0,,,
1996-08-18,9849.0,,,
1996-08-19,8687.0,,,
1996-08-20,8675.0,,,
1996-08-21,8212.0,,,
1996-08-22,8753.0,,,
1996-08-23,9572.0,,,
1996-08-24,9938.0,,,
1996-08-25,10243.0,,,
1996-08-26,9929.0,,,
1996-08-27,11890.0,,,
1996-08-28,9697.0,,,
1996-08-29,9789.0,,,
1996-08-30,11417.0,,,
1996-08-31,9352.0,0.057963,0.11045772,0.04688234
1996-09-01,10313.0,,,
1996-09-02,10183.0,,,
1996-09-03,10487.0,,,
1996-09-04,9743.0,,,
1996-09-05,10432.0,,,
1996-09-06,10090.0,,,
1996-09-07,9778.0,,,
1996-09-08,8964.0,,,
1996-09-09,8196.0,,,
1996-09-10,10198.8129771,,,
1996-09-11,9829.92947576,,,
1996-09-12,10082.222577,,,
1996-09-13,7453.0,,,
1996-09-14,8139.0,,,
1996-09-15,6842.0,,,
1996-09-16,7003.0,,,
1996-09-17,6885.0,,,
1996-09-18,6154.0,,,
1996-09-19,5725.0,,,
1996-09-20,5401.0,,,
1996-09-21,5120.0,,,
1996-09-22,5764.0,,,
1996-09-23,4588.0,,,
1996-09-24,3957.0,,,
1996-09-25,3198.0,,,
1996-09-26,3163.0,,,
1996-09-27,4277.0,,,
1996-09-28,4122.0,,,
1996-09-29,3599.0,,,
1996-09-30,3240.0,0.07651608,0.17905252,0.05845868
1996-10-01,4687.0,,,
1996-10-02,4200.0,,,
1996-10-03,4461.0,,,
1996-10-04,4139.0,,,
1996-10-05,5045.0,,,
1996-10-06,4978.0,,,
1996-10-07,4024.0,,,
1996-10-08,3992.0,,,
1996-10-09,2552.0,,,
1996-10-10,3571.0,,,
1996-10-11,4094.0,,,
1996-10-12,4555.0,,,
1996-10-13,5534.0,,,
1996-10-14,3948.0,,,
1996-10-15,3927.0,,,
1996-10-16,3847.0,,,
1996-10-17,3411.0,,,
1996-10-18,3233.0,,,
1996-10-19,4300.0,,,
1996-10-20,4209.0,,,
1996-10-21,4517.0,,,
1996-10-22,3657.0,,,
1996-10-23,4906.0,,,
1996-10-24,3605.0,,,
1996-10-25,4088.0,,,
1996-10-26,5416.0,,,
1996-10-27,4322.0,,,
1996-10-28,3705.0,,,
1996-10-29,3475.0,,,
1996-10-30,8864.0,,,
1996-10-31,10135.9274188,0.1168752,0.22359792,0.07102118
1996-11-01,10508.9294094,,,
1996-11-02,10069.9335998,,,
1996-11-03,10263.4875746,,,
1996-11-04,7600.0,,,
1996-11-05,5512.0,,,
1996-11-06,5455.0,,,
1996-11-07,4537.0,,,
1996-11-08,3949.0,,,
1996-11-09,3945.0,,,
1996-11-10,4189.0,,,
1996-11-11,4258.0,,,
1996-11-12,4239.0,,,
1996-11-13,5270.0,,,
1996-11-14,3952.0,,,
1996-11-15,4340.0,,,
1996-11-16,5155.0,,,
1996-11-17,7892.19698781,,,
1996-11-18,10501.9446529,,,
1996-11-19,11083.4508462,,,
1996-11-20,14384.0400741,,,
1996-11-21,16858.2663195,,,
1996-11-22,17756.8645712,,,
1996-11-23,16703.0,,,
1996-11-24,16003.0,,,
1996-11-25,15755.0,,,
1996-11-26,14714.0,,,
1996-11-27,10937.0,,,
1996-11-28,9531.0,,,
1996-11-29,9433.0,,,
1996-11-30,8719.0,0.13385784,0.18514674,0.0504124
1996-12-01,7039.0,,,
1996-12-02,8676.0,,,
1996-12-03,8075.0,,,
1996-12-04,10936.0,,,
1996-12-05,17351.9326691,,,
1996-12-06,33928.7645024,,,
1996-12-07,35992.4315942,,,
1996-12-08,34960.231108,,,
1996-12-09,33225.1084647,,,
1996-12-10,36567.9116481,,,
1996-12-11,44256.2393001,,,
1996-12-12,53755.3317175,,,
1996-12-13,73979.154642,,,
1996-12-14,98084.0650724,,,
1996-12-15,100445.83372,,,
1996-12-16,93188.8999279,,,
1996-12-17,84661.2581972,,,
1996-12-18,72167.8022515,,,
1996-12-19,64006.4966335,,,
1996-12-20,58737.2782677,,,
1996-12-21,55342.3831699,,,
1996-12-22,58996.1771994,,,
1996-12-23,65119.7435822,,,
1996-12-24,63815.5535576,,,
1996-12-25,60610.6424417,,,
1996-12-26,57038.5319071,,,
1996-12-27,61636.5734861,,,
1996-12-28,72633.3704215,,,
1996-12-29,101241.461646,,,
1996-12-30,133065.274078,,,
1996-12-31,174050.438701,0.07783968,0.22116626,0.02627356
1997-01-01,249537.982294,,,
1997-01-02,451750.85782,,,
1997-01-03,496194.494211,,,
1997-01-04,480644.97785,,,
1997-01-05,395953.23969,,,
1997-01-06,313249.549314,,,
1997-01-07,276640.308699,,,
1997-01-08,254477.408089,,,
1997-01-09,225210.914711,,,
1997-01-10,197023.080388,,,
1997-01-11,173437.276195,,,
1997-01-12,148574.252852,,,
1997-01-13,130809.375945,,,
1997-01-14,119221.923319,,,
1997-01-15,112016.799959,,,
1997-01-16,105592.051226,,,
1997-01-17,99282.829482,,,
1997-01-18,92663.5235732,,,
1997-01-19,88321.279099,,,
1997-01-20,84200.0336574,,,
1997-01-21,81067.7916699,,,
1997-01-22,88184.9081873,,,
1997-01-23,142206.189869,,,
1997-01-24,155179.327705,,,
1997-01-25,170829.160078,,,
1997-01-26,203719.642726,,,
1997-01-27,207947.228825,,,
1997-01-28,199297.092072,,,
1997-01-29,199421.848517,,,
1997-01-30,188531.494508,,,
1997-01-31,173947.649782,0.05537184,0.1788342,0.03078978
1997-02-01,158251.725133,,,
1997-02-02,144929.226186,,,
1997-02-03,133842.539198,,,
1997-02-04,123836.461557,,,
1997-02-05,114411.456178,,,
1997-02-06,106278.419278,,,
1997-02-07,100101.289225,,,
1997-02-08,94533.5505502,,,
1997-02-09,88487.6588573,,,
1997-02-10,83217.5651429,,,
1997-02-11,77591.4600428,,,
1997-02-12,70547.809707,,,
1997-02-13,63085.9868001,,,
1997-02-14,58873.982577,,,
1997-02-15,55029.2580327,,,
1997-02-16,50172.1689753,,,
1997-02-17,45301.3362072,,,
1997-02-18,41038.5303504,,,
1997-02-19,38414.4753733,,,
1997-02-20,36659.6136005,,,
1997-02-21,34941.5433477,,,
1997-02-22,34106.530213,,,
1997-02-23,33178.2303419,,,
1997-02-24,31887.4932966,,,
1997-02-25,30796.0475802,,,
1997-02-26,32159.8576075,,,
1997-02-27,32227.5897551,,,
1997-02-28,32000.4304919,0.0592866,0.28410348,0.03078978
1997-03-01,32327.5911722,,,
1997-03-02,32148.9095674,,,
1997-03-03,31916.7617992,,,
1997-03-04,30479.1857841,,,
1997-03-05,28371.4144795,,,
1997-03-06,25173.0211796,,,
1997-03-07,22922.7497136,,,
1997-03-08,20853.5173129,,,
1997-03-09,19905.0778831,,,
1997-03-10,19470.5931911,,,
1997-03-11,18845.9565305,,,
1997-03-12,18332.9212631,,,
1997-03-13,17981.4356651,,,
1997-03-14,17554.0701701,,,
1997-03-15,16700.2211154,,,
1997-03-16,16546.6436662,,,
1997-03-17,16982.5491351,,,
1997-03-18,18004.3045376,,,
1997-03-19,20492.7246584,,,
1997-03-20,20831.848393,,,
1997-03-21,19192.8258996,,,
1997-03-22,18326.7338495,,,
1997-03-23,17897.0847832,,,
1997-03-24,17720.8123796,,,
1997-03-25,17312.7576602,,,
1997-03-26,16899.6435273,,,
1997-03-27,16899.4643273,,,
1997-03-28,17126.1137335,,,
1997-03-29,15899.9744724,,,
1997-03-30,13836.0,,,
1997-03-31,14835.6698155,0.11139,0.28189014,0.04236612
1997-04-01,14604.0170611,,,
1997-04-02,14279.6343284,,,
1997-04-03,14014.965144,,,
1997-04-04,13578.9428277,,,
1997-04-05,12986.0864263,,,
1997-04-06,10622.0,,,
1997-04-07,10966.0,,,
1997-04-08,10089.0,,,
1997-04-09,9355.0,,,
1997-04-10,9086.0,,,
1997-04-11,10236.0,,,
1997-04-12,8396.0,,,
1997-04-13,8599.0,,,
1997-04-14,9537.0,,,
1997-04-15,9472.11542706,,,
1997-04-16,9023.82749904,,,
1997-04-17,8758.91255031,,,
1997-04-18,8425.53175403,,,
1997-04-19,9099.07304189,,,
1997-04-20,9642.85470085,,,
1997-04-21,11099.9329124,,,
1997-04-22,12716.76961,,,
1997-04-23,12795.0797436,,,
1997-04-24,12210.0643864,,,
1997-04-25,11115.9524428,,,
1997-04-26,10709.5597393,,,
1997-04-27,9322.99331646,,,
1997-04-28,8375.2017257,,,
1997-04-29,8437.80698181,,,
1997-04-30,8149.47814799,0.12012816,0.29008854,0.04688234
1997-05-01,8577.20402845,,,
1997-05-02,8150.97927961,,,
1997-05-03,7991.47955447,,,
1997-05-04,7964.67511521,,,
1997-05-05,7798.39111246,,,
1997-05-06,7629.86680939,,,
1997-05-07,7107.62548575,,,
1997-05-08,7215.90739084,,,
1997-05-09,7307.50099293,,,
1997-05-10,7172.86056132,,,
1997-05-11,7378.39725064,,,
1997-05-12,7551.70106045,,,
1997-05-13,7855.09711388,,,
1997-05-14,8467.34888874,,,
1997-05-15,8416.54778857,,,
1997-05-16,7604.26968224,,,
1997-05-17,5091.99428979,,,
1997-05-18,4361.59661679,,,
1997-05-19,4669.1316726,,,
1997-05-20,4845.01551103,,,
1997-05-21,6777.24417743,,,
1997-05-22,8486.21071308,,,
1997-05-23,8100.60218291,,,
1997-05-24,7164.76849642,,,
1997-05-25,7796.93700538,,,
1997-05-26,8605.04337539,,,
1997-05-27,8915.95469096,,,
1997-05-28,11114.7182915,,,
1997-05-29,9767.0,,,
1997-05-30,9068.0,,,
1997-05-31,7440.24860671,0.09832212,0.44189824,0.04589618
1997-06-01,6895.49136391,,,
1997-06-02,6528.19367787,,,
1997-06-03,6523.32223752,,,
1997-06-04,6919.57431915,,,
1997-06-05,6820.06356747,,,
1997-06-06,7281.46658111,,,
1997-06-07,7567.11963735,,,
1997-06-08,7017.42943381,,,
1997-06-09,6651.39349351,,,
1997-06-10,6418.19980107,,,
1997-06-11,6570.38950242,,,
1997-06-12,7165.0,,,
1997-06-13,7985.0,,,
1997-06-14,7973.0,,,
1997-06-15,8122.0,,,
1997-06-16,9508.0,,,
1997-06-17,9081.0,,,
1997-06-18,8785.0,,,
1997-06-19,7522.0,,,
1997-06-20,7372.0,,,
1997-06-21,7064.0,,,
1997-06-22,7343.0,,,
1997-06-23,7104.0,,,
1997-06-24,6613.0,,,
1997-06-25,7227.0,,,
1997-06-26,7797.0,,,
1997-06-27,8126.0,,,
1997-06-28,8088.0,,,
1997-06-29,8789.0,,,
1997-06-30,9814.0,0.0992868,0.39125862,0.05845868
1997-07-01,9047.0,,,
1997-07-02,8349.0,,,
1997-07-03,8020.0,,,
1997-07-04,8095.0,,,
1997-07-05,7981.0,,,
1997-07-06,8282.0,,,
1997-07-07,8211.0,,,
1997-07-08,8333.0,,,
1997-07-09,9807.0,,,
1997-07-10,11132.6873808,,,
1997-07-11,11225.0,,,
1997-07-12,11626.8210614,,,
1997-07-13,10822.0,,,
1997-07-14,11832.6060606,,,
1997-07-15,10770.0,,,
1997-07-16,9951.0,,,
1997-07-17,9973.0,,,
1997-07-18,9435.0,,,
1997-07-19,8649.0,,,
1997-07-20,8599.0,,,
1997-07-21,8988.0,,,
1997-07-22,9420.0,,,
1997-07-23,9267.0,,,
1997-07-24,9846.0,,,
1997-07-25,8874.0,,,
1997-07-26,8671.0,,,
1997-07-27,8631.0,,,
1997-07-28,8725.0,,,
1997-07-29,8131.0,,,
1997-07-30,7817.0,,,
1997-07-31,8463.0,0.0999486,0.21151864,0.05845868
1997-08-01,8044.0,,,
1997-08-02,8115.0,,,
1997-08-03,8238.0,,,
1997-08-04,8073.0,,,
1997-08-05,7861.0,,,
1997-08-06,7913.0,,,
1997-08-07,10078.0,,,
1997-08-08,8978.0,,,
1997-08-09,11584.3446075,,,
1997-08-10,11521.8993587,,,
1997-08-11,10606.0103249,,,
1997-08-12,10095.9964664,,,
1997-08-13,9777.6514666,,,
1997-08-14,9604.27415189,,,
1997-08-15,8841.3892496,,,
1997-08-16,6566.0,,,
1997-08-17,8457.0,,,
1997-08-18,8905.0,,,
1997-08-19,8151.0,,,
1997-08-20,7688.0,,,
1997-08-21,7325.0,,,
1997-08-22,6772.0,,,
1997-08-23,7271.0,,,
1997-08-24,7864.0,,,
1997-08-25,8674.0,,,
1997-08-26,8905.0,,,
1997-08-27,7351.0,,,
1997-08-28,7171.0,,,
1997-08-29,5752.0,,,
1997-08-30,5107.0,,,
1997-08-31,4955.0,0.0823602,0.10037346,0.0504124
1997-09-01,5016.0,,,
1997-09-02,4706.0,,,
1997-09-03,4781.0,,,
1997-09-04,6861.0,,,
1997-09-05,5580.0,,,
1997-09-06,4877.0,,,
1997-09-07,5152.0,,,
1997-09-08,5049.0,,,
1997-09-09,4725.0,,,
1997-09-10,4834.0,,,
1997-09-11,4401.0,,,
1997-09-12,3693.0,,,
1997-09-13,3172.0,,,
1997-09-14,3044.0,,,
1997-09-15,2693.0,,,
1997-09-16,2540.0,,,
1997-09-17,2261.0,,,
1997-09-18,3313.0,,,
1997-09-19,2940.0,,,
1997-09-20,2899.0,,,
1997-09-21,3015.0,,,
1997-09-22,3061.0,,,
1997-09-23,5092.0,,,
1997-09-24,5127.0,,,
1997-09-25,4750.0,,,
1997-09-26,3314.0,,,
1997-09-27,2884.0,,,
1997-09-28,2337.0,,,
1997-09-29,2595.0,,,
1997-09-30,2720.0,0.07748076,0.20741944,0.0629749
1997-10-01,3941.0,,,
1997-10-02,4893.0,,,
1997-10-03,4199.0,,,
1997-10-04,4279.0,,,
1997-10-05,3743.0,,,
1997-10-06,3069.0,,,
1997-10-07,5035.0,,,
1997-10-08,4601.0,,,
1997-10-09,6354.0,,,
1997-10-10,5646.0,,,
1997-10-11,7316.0,,,
1997-10-12,7053.0,,,
1997-10-13,6475.0,,,
1997-10-14,3470.0,,,
1997-10-15,2687.0,,,
1997-10-16,3083.0,,,
1997-10-17,3863.0,,,
1997-10-18,4951.0,,,
1997-10-19,4214.0,,,
1997-10-20,5006.0,,,
1997-10-21,5453.43958197,,,
1997-10-22,5880.6874063,,,
1997-10-23,5835.23827751,,,
1997-10-24,5780.80846906,,,
1997-10-25,4542.0,,,
1997-10-26,4201.0,,,
1997-10-27,4561.54188588,,,
1997-10-28,4675.83354037,,,
1997-10-29,4821.02709755,,,
1997-10-30,4412.0,,,
1997-10-31,3488.0,0.11392512,0.22758796,0.06650496
1997-11-01,4016.0,,,
1997-11-02,3283.0,,,
1997-11-03,3834.0,,,
1997-11-04,3776.0,,,
1997-11-05,2974.0,,,
1997-11-06,4038.0,,,
1997-11-07,4033.0,,,
1997-11-08,5029.0,,,
1997-11-09,4626.0,,,
1997-11-10,6628.92794647,,,
1997-11-11,7534.73418613,,,
1997-11-12,7547.43217232,,,
1997-11-13,8943.15657884,,,
1997-11-14,9860.80722632,,,
1997-11-15,9519.96620931,,,
1997-11-16,9784.81840102,,,
1997-11-17,9829.62022045,,,
1997-11-18,7559.0,,,
1997-11-19,8999.0,,,
1997-11-20,7940.0,,,
1997-11-21,7963.0,,,
1997-11-22,8519.0,,,
1997-11-23,7420.0,,,
1997-11-24,7818.0,,,
1997-11-25,9651.0,,,
1997-11-26,15699.0,,,
1997-11-27,20213.6384631,,,
1997-11-28,24184.4666225,,,
1997-11-29,24794.0,,,
1997-11-30,22734.0,0.18717276,0.28210846,0.07356508
1997-12-01,18328.0,,,
1997-12-02,24704.0,,,
1997-12-03,22521.0,,,
1997-12-04,19328.0,,,
1997-12-05,14769.0,,,
1997-12-06,14593.0,,,
1997-12-07,19199.0,,,
1997-12-08,23870.0587368,,,
1997-12-09,27574.4826948,,,
1997-12-10,27761.0,,,
1997-12-11,22706.0,,,
1997-12-12,15442.0,,,
1997-12-13,12509.0,,,
1997-12-14,16303.0,,,
1997-12-15,16320.0,,,
1997-12-16,19192.0,,,
1997-12-17,23426.0,,,
1997-12-18,21729.0,,,
1997-12-19,14372.0,,,
1997-12-20,14390.0,,,
1997-12-21,13304.0,,,
1997-12-22,12706.0,,,
1997-12-23,10117.0,,,
1997-12-24,8208.0,,,
1997-12-25,7267.0,,,
1997-12-26,6530.0,,,
1997-12-27,6256.0,,,
1997-12-28,5789.0,,,
1997-12-29,5214.0,,,
1997-12-30,4927.0,,,
1997-12-31,4878.0,0.17102004,0.4614118,0.0629749
1998-01-01,4753.0,,,
1998-01-02,6441.0,,,
1998-01-03,7935.0,,,
1998-01-04,15190.0,,,
1998-01-05,22037.0,,,
1998-01-06,25746.0,,,
1998-01-07,21662.0,,,
1998-01-08,18712.0,,,
1998-01-09,17874.0,,,
1998-01-10,19842.0,,,
1998-01-11,21679.0,,,
1998-01-12,32936.8770309,,,
1998-01-13,50239.9735836,,,
1998-01-14,55826.9851826,,,
1998-01-15,60999.8393633,,,
1998-01-16,80971.5324147,,,
1998-01-17,97414.5563514,,,
1998-01-18,104670.218167,,,
1998-01-19,109046.38454,,,
1998-01-20,107407.048832,,,
1998-01-21,103968.361282,,,
1998-01-22,98352.860253,,,
1998-01-23,88873.2597737,,,
1998-01-24,83657.6880274,,,
1998-01-25,79924.888506,,,
1998-01-26,77007.7465757,,,
1998-01-27,76935.6462173,,,
1998-01-28,79034.5829929,,,
1998-01-29,85869.479271,,,
1998-01-30,95579.9307007,,,
1998-01-31,93523.2118688,,0.40311958,0.06650496
1998-02-01,91807.7930405,,,
1998-02-02,97379.6702297,,,
1998-02-03,147558.140635,,,
1998-02-04,212345.16637,,,
1998-02-05,226960.371725,,,
1998-02-06,246261.431759,,,
1998-02-07,254492.358548,,,
1998-02-08,269967.666091,,,
1998-02-09,261349.998384,,,
1998-02-10,247009.604305,,,
1998-02-11,225100.32003,,,
1998-02-12,203631.006942,,,
1998-02-13,189979.922848,,,
1998-02-14,180132.354493,,,
1998-02-15,186974.831808,,,
1998-02-16,179367.887555,,,
1998-02-17,173798.752125,,,
1998-02-18,156868.60899,,,
1998-02-19,147008.550299,,,
1998-02-20,157503.749038,,,
1998-02-21,148666.110325,,,
1998-02-22,171704.310969,,,
1998-02-23,169499.523484,,,
1998-02-24,164977.965711,,,
1998-02-25,151158.132196,,,
1998-02-26,139184.38458,,,
1998-02-27,127322.856317,,,
1998-02-28,115958.379026,0.06091308,0.23955808,0.04236612
1998-03-01,106284.302804,,,
1998-03-02,97449.024664,,,
1998-03-03,92458.3998049,,,
1998-03-04,88927.1247479,,,
1998-03-05,84825.3717325,,,
1998-03-06,82411.8903051,,,
1998-03-07,79152.8704187,,,
1998-03-08,75158.7798945,,,
1998-03-09,71186.7524741,,,
1998-03-10,66212.4259941,,,
1998-03-11,61379.1797747,,,
1998-03-12,57710.9959488,,,
1998-03-13,54806.9522969,,,
1998-03-14,52269.816638,,,
1998-03-15,50344.8658139,,,
1998-03-16,49161.7802934,,,
1998-03-17,47687.834993,,,
1998-03-18,45359.9480874,,,
1998-03-19,45161.2396736,,,
1998-03-20,47441.0478724,,,
1998-03-21,48433.1762461,,,
1998-03-22,50560.7438597,,,
1998-03-23,55519.5859196,,,
1998-03-24,62209.1042378,,,
1998-03-25,82288.1665123,,,
