Date,Month,Year,Flow,NH3,NO2,NO3,TKN,OrgN,TP,Temp,pH,TSS,TDS
1-Mar-88,3,1988,17.65,8.7,0.14,14,,1.5,,17.5,7.1,13,
8-Mar-88,3,1988,18.08,,0.15,14.4,,,26.4,17.5,7,11.6,
13-Mar-88,3,1988,24.28,8.2,,,,,,17,6.9,11.8,
15-Mar-88,3,1988,18.37,,0.24,14,,3.4,,16.5,7,9.6,
24-Mar-88,3,1988,17.81,,0.22,17.7,,,23.1,19,7.2,11,
31-Mar-88,3,1988,18.38,,0.2,,,,,17.5,7.3,13.8,
4-Apr-88,4,1988,17.43,7.1,,,,,,18.5,7.2,20.6,
9-Apr-88,4,1988,18.4,,0.18,,,,21.6,20,7.2,12,
14-Apr-88,4,1988,18.69,6.1,0.27,15.6,,2.1,,19,7.1,17.6,
19-Apr-88,4,1988,18.63,,,13.7,,,,17.5,7.2,17.6,
21-Apr-88,4,1988,18.41,4.1,0.26,16.5,,,,17,7.1,16.4,
26-Apr-88,4,1988,15.11,,0.4,15.8,,2.6,,18.5,7,12,
3-May-88,5,1988,17.85,,0.02,14.6,,,,16.5,7,13.6,
5-May-88,5,1988,17.9,0.3,,,,,,16.3,7,14.8,
10-May-88,5,1988,18.14,,0.3,9.3,,3.8,,15.6,7.1,13.2,
17-May-88,5,1988,18.08,,0.01,8.3,,,20.5,20,7.2,8.4,
24-May-88,5,1988,17.45,,0.01,5.9,,1.8,,20.5,7.1,7.2,
25-May-88,5,1988,16.98,0.3,,,,,,21.6,7.1,9,
31-May-88,5,1988,17.72,,0.02,4.7,,,,18.1,7.2,9,
9-Jun-88,6,1988,17.52,1.1,,,,,,19.2,7.1,11.4,
10-Jun-88,6,1988,17.97,,0.02,6.9,,,20.1,20.3,7.2,11.4,
15-Jun-88,6,1988,17.75,0.6,0.02,5.7,,3.4,,24.1,7.2,12,
22-Jun-88,6,1988,18.01,0.8,,,,,,22.7,7,13.4,
24-Jun-88,6,1988,18.37,,0.02,4.9,,,19.4,22,7.2,13.4,
27-Jun-88,6,1988,17.65,0.9,,,,,,22.8,7.2,10.8,
29-Jun-88,6,1988,18.37,0.6,,,,,,21.8,7.2,11.8,
30-Jun-88,6,1988,18.35,,0.04,2.7,,5.4,,22.3,7.1,11.8,
6-Jul-88,7,1988,9.06,,0.02,8.8,,,23.5,22.1,6.9,8.4,
7-Jul-88,7,1988,8.86,0.4,,,,,,22.7,7,9.2,
12-Jul-88,7,1988,9.04,,0.01,9.6,,7.3,,22.4,6.9,9.2,
15-Jul-88,7,1988,9.87,0.2,,,,,,23.2,7.1,6,
20-Jul-88,7,1988,17.27,0.2,0.02,4.8,,,21,24.8,7.1,8.4,
26-Jul-88,7,1988,17.08,,0.04,5.4,,2.1,,24.5,7.1,11.8,
27-Jul-88,7,1988,17.21,0.7,,,,,,25.3,7.1,11.8,
3-Aug-88,8,1988,16.89,1.1,0.03,4.5,,,20.9,23.6,7.1,12.8,
14-Aug-88,8,1988,8.74,0.3,,,,,,22.5,6.9,8.2,
15-Aug-88,8,1988,8.74,,0.01,7.3,,7.2,,21.8,6.9,8.2,
17-Aug-88,8,1988,8.55,0.2,,,,,,23,7,9.6,
19-Aug-88,8,1988,8.81,,0.01,7.9,,,,26,7,8.4,
25-Aug-88,8,1988,8.2,,0.03,8.1,,3.3,,23.3,6.9,10.2,
6-Sep-88,9,1988,16.91,,0.04,6.1,,,,22.4,7.4,15.2,
13-Sep-88,9,1988,16.11,,0.04,9.3,,4.1,,21.4,7.1,12.2,
19-Sep-88,9,1988,17.61,,0.1,9.4,,,19.9,20.6,7.1,13,
28-Sep-88,9,1988,17.61,,0.09,10.6,,,,21,7.1,12.8,
6-Oct-88,10,1988,17.99,,0.08,4.1,,,,19.5,7.2,12.8,
13-Oct-88,10,1988,9.02,,0.03,5.6,,3.7,,18.7,7,12.4,
20-Oct-88,10,1988,9,1.1,,,,,,21.1,7,15.6,
21-Oct-88,10,1988,9.14,,0.02,7.8,,,21.5,20.6,7.1,14,
26-Oct-88,10,1988,9.08,,0.01,10.3,,3,,20,7.1,14.2,
4-Nov-88,11,1988,17.46,,0.1,7.3,,,24.1,19.5,7.3,13.8,
6-Nov-88,11,1988,17.84,1.9,,,,,,20,7.3,13.4,
8-Nov-88,11,1988,17.56,,0.09,9.3,,,,16.8,7.2,10.4,
16-Nov-88,11,1988,18.22,,0.13,8.4,,,,15.5,7.5,12,
28-Nov-88,11,1988,17.97,,0.22,13.2,,6.7,,13.5,7.2,8.6,
4-Dec-88,12,1988,18.24,2.7,,,,,,14,7.2,10,
6-Dec-88,12,1988,14.78,,0.17,11.8,,,21.8,15,7.1,10,
15-Dec-88,12,1988,14,2.7,,,,,,10.3,7.3,14.8,
16-Dec-88,12,1988,17.92,,0.32,12.4,,7.3,,10.9,7.2,14.8,
19-Dec-88,12,1988,17.92,6.1,,,,,,11.5,7.2,15.6,
21-Dec-88,12,1988,17.95,,0.4,14.3,,,21.9,10.6,7.1,14.4,
27-Dec-88,12,1988,17.67,,0.41,12.7,,10.2,,8.5,7.3,10.4,
4-Jan-89,1,1989,17.75,4.8,,,,,,10,7.2,11.2,
7-Jan-89,1,1989,18.32,,0.41,16.6,,,18.1,11,7.1,12.4,
12-Jan-89,1,1989,18.25,3.5,0.54,18.4,,3.9,,11,7,10.6,
17-Jan-89,1,1989,18.74,,0.38,16.6,,,18.7,10.5,6.8,10.4,
18-Jan-89,1,1989,18.68,2.4,,,,,,12.4,7,11.2,
22-Jan-89,1,1989,18.85,2.2,,,,,,12,6.9,10,
25-Jan-89,1,1989,18.92,,0.24,19.5,,3.9,,12.1,7,11.6,
5-Feb-89,2,1989,17.68,1.7,,,,,,8.5,7.1,13.6,
6-Feb-89,2,1989,18.55,,0.32,16.9,,,18.8,8.4,7,12.8,
8-Feb-89,2,1989,17.87,2.7,0.34,18,,6.3,,8,7.1,14,
14-Feb-89,2,1989,18.23,1.3,,,,,,13,7,12,
15-Feb-89,2,1989,18.07,,0.04,21.2,,3.8,17.7,13.1,7.1,12,
23-Feb-89,2,1989,17.63,0.6,,,,,,16,6.8,14.4,
28-Feb-89,2,1989,18.4,,0.17,17.5,,3.6,,15.5,7.1,15.5,
4-Mar-89,3,1989,17.21,3.7,,,,,,12.5,7,14.4,
5-Mar-89,3,1989,17.19,,0.51,20.8,,4.5,20.1,12.5,7.6,14.4,
7-Mar-89,3,1989,16.48,3.5,,,,,,15.6,7,13.6,
8-Mar-89,3,1989,18.16,,0.44,19.9,,5.9,,16,6.9,11.2,
14-Mar-89,3,1989,17.77,,0.39,18.4,,5.5,20,16.8,7.1,14,
15-Mar-89,3,1989,16.95,3.1,,,,,,16,7,14.4,
19-Mar-89,3,1989,24.93,5.8,0.43,11.6,,10,,17,7.2,11.2,
28-Mar-89,3,1989,18.02,4.4,0.47,16.6,,5.5,21.5,19.3,7,14.4,
2-Apr-89,4,1989,23.8,7.2,0.75,13.9,,1.8,,20,7.2,15.6,
13-Apr-89,4,1989,18.77,9.2,0.37,9.8,,4.6,21,20.4,7.2,17,
17-Apr-89,4,1989,18.52,,0.54,12.5,,3.3,,22,7.3,15.2,
18-Apr-89,4,1989,18.55,8.2,,,,,,19.6,7.3,16.4,
26-Apr-89,4,1989,18.32,11.8,0.49,12.2,,0,25.5,20,6.8,13.2,
3-May-89,5,1989,18.5,9.9,,,,,,21,7.1,14.8,
4-May-89,5,1989,18.4,,0.61,16.9,,11.6,,21.3,6.9,13.2,
11-May-89,5,1989,18.44,5.7,,,,10.7,,19.9,7,22.4,
12-May-89,5,1989,18.2,3.7,,,,,25.3,20,7.1,18.8,
14-May-89,5,1989,18.4,0.4,0.25,18.7,,5.5,,22,7,12,
15-May-89,5,1989,18.1,0.4,0.03,,,,23.6,21.5,7.3,9.8,
23-May-89,5,1989,17.5,0.2,0.04,8.1,,2.8,,,,16,
25-May-89,5,1989,17.44,0.2,,,,,,19.4,7,10.8,
30-May-89,5,1989,8.78,0.1,0.01,7.7,,1.9,,19.5,6.9,3.2,
31-May-89,5,1989,11.45,0.1,,,,,,21.5,6.9,8,
7-Jun-89,6,1989,17.51,,,,,,18.5,21,7.1,6.4,
8-Jun-89,6,1989,17.58,0.1,0.01,6.6,,1.6,,20.5,7.1,8.4,
9-Jun-89,6,1989,17.8,0.1,,,,,,21.1,7.1,11.6,
11-Jun-89,6,1989,17.53,0.1,0.01,4.1,,2.3,,21,7.1,15.4,
12-Jun-89,6,1989,17.26,0.2,,,,,,21,7,12.8,
22-Jun-89,6,1989,9.24,0.1,,5.6,,,,25,7,10.8,
23-Jun-89,6,1989,8.61,0.1,0.01,,,0.6,,25,6.9,10.4,
25-Jun-89,6,1989,8.49,,,5,,,,24,6.9,14.4,
26-Jun-89,6,1989,8.69,0.1,0.02,,,1.8,,23,7,13.8,
27-Jun-89,6,1989,8.72,0.1,,,,,,22,6.9,13,
30-Jun-89,6,1989,8.78,,,,,,25.4,22.1,6.9,13,
6-Jul-89,7,1989,8.34,0.1,0.01,5,,2.3,,23.5,6.9,8.6,
7-Jul-89,7,1989,8.46,0.2,,,,,24.7,23.9,6.9,11.4,
11-Jul-89,7,1989,14.23,0.2,,,,,,23.9,7.1,13.8,
12-Jul-89,7,1989,16.91,0.1,0.01,6.2,,1.8,,22.5,7.1,12.6,
17-Jul-89,7,1989,16.98,0.1,0.01,3.7,,2.3,23.1,25,7,11.4,
24-Jul-89,7,1989,16.94,0.1,0.02,3.6,,2.7,,25,6.9,19,
1-Aug-89,8,1989,16.84,,0.07,4.1,,,24.2,22,7.2,12.8,
6-Aug-89,8,1989,8.34,,0.02,9.3,,2.7,,23.7,7.1,11.9,
7-Aug-89,8,1989,7.82,0.4,,,,,,24.4,6.9,10.8,
17-Aug-89,8,1989,8.59,2,0.03,,,2,34.3,24.7,6.9,20.2,
22-Aug-89,8,1989,8.57,0.6,0.21,16.5,,3.4,,23,6.7,20.2,
28-Aug-89,8,1989,13.12,0.3,0.01,18.4,,2.7,22.5,22.7,6.8,12.6,
5-Sep-89,9,1989,12.1,0.4,0.08,14.8,,3.4,,23.6,6.8,15.4,
18-Sep-89,9,1989,8.54,1.2,0.08,13.5,,2.2,15.4,20,7,12.8,
24-Sep-89,9,1989,4.74,0.3,,,,,,,,13,
27-Sep-89,9,1989,5.81,,0.03,15.8,,1.4,14.5,22,6.7,11.6,
4-Oct-89,10,1989,11.16,0.2,0.01,6.1,,2.3,,20,7.1,13.8,
10-Oct-89,10,1989,19.32,0.1,,,,,,21,7.2,13.8,
11-Oct-89,10,1989,20.96,,0.01,7.6,,,,21.5,7.2,14.2,
14-Oct-89,10,1989,16.68,0.2,,,,1.7,,20.5,7,11.6,
16-Oct-89,10,1989,15.71,,0.01,12.9,,,,19.5,7,8.4,
24-Oct-89,10,1989,11.88,1.1,0.16,1.9,,2.4,,17.5,7.1,12.4,
30-Oct-89,10,1989,13.01,,0.14,16.7,,3.9,,17.5,7.2,11.6,
31-Oct-89,10,1989,15.73,1,,,,,,17,7.2,8.4,
9-Nov-89,11,1989,16.05,1.3,0.13,35.2,,2.4,,16.6,7,13,
15-Nov-89,11,1989,8.29,1.4,0.19,37.5,,4.3,25,15.5,7.1,12.4,
20-Nov-89,11,1989,10.68,1.4,0.17,39.4,,3.8,,15.5,6.8,13.8,
29-Nov-89,11,1989,16.51,2.1,0.38,17.6,,3.5,18.6,12,7,14,
4-Dec-89,12,1989,,1.7,0.25,,,4.7,,,,12,
13-Dec-89,12,1989,18.17,2.7,0.44,18.4,,1.3,22.6,10,7,10.8,
20-Dec-89,12,1989,17.85,2.1,0.45,20.4,,2.9,,10.5,7.1,12.6,
26-Dec-89,12,1989,17.9,2.3,0.57,17.6,,3.1,24.7,11.2,7,12,
4-Jan-90,1,1990,16.08,2.2,0.42,19.3,,2.2,,10,7.1,14.2,
8-Jan-90,1,1990,16.77,0.9,0.22,19.5,,2.7,,13,7.2,13.2,
16-Jan-90,1,1990,8.86,0.2,0.01,22.8,,1.4,22.4,12,6.7,10.6,
23-Jan-90,1,1990,17.04,2.4,0.27,19.9,,1,24,12,7,11.6,
31-Jan-90,1,1990,17.01,1.4,0.25,21.8,,2,,12.5,7,13.4,
5-Feb-90,2,1990,16.7,1.1,0.23,21.4,,2.8,22.3,11,7.1,14.6,
14-Feb-90,2,1990,8.56,2.5,0.58,24.4,,2.5,,8,6.9,12.2,
21-Feb-90,2,1990,14.25,4.5,0.42,26.5,,1.3,23.6,10,6.9,10.6,
28-Feb-90,2,1990,8.57,2.6,0.25,22,,4.7,,14.5,6.9,16,
11-Mar-90,3,1990,16.82,2,0.2,25.7,,2.7,21.3,12.5,7,11.4,
14-Mar-90,3,1990,16.99,1.6,0.12,19.4,,2.8,,14,6.9,13.2,
21-Mar-90,3,1990,17.29,1.6,0.3,19.6,,2.4,20.3,17.5,6.7,8.8,
26-Mar-90,3,1990,17.4,2.2,0.12,21,,2.7,24.4,17,6.7,12.6,
4-Apr-90,4,1990,17.55,1.2,0.09,23.7,,3.4,,19.5,6.8,10.2,
5-Apr-90,4,1990,17.54,,,,,,25.6,17.5,6.8,11.4,
11-Apr-90,4,1990,4.42,1.2,,24.6,,3.1,,19,6.7,12.2,
12-Apr-90,4,1990,4.09,,0.01,,,,,17.5,6.7,12.2,
17-Apr-90,4,1990,8.69,0.8,0.01,20.2,,2.3,25.4,19,6.8,11,
25-Apr-90,4,1990,8.62,0.5,0.01,20.8,,2,,20,6.8,11.4,
5-May-90,5,1990,16.7,3.3,0.44,15.6,,2.6,,25,6.6,21.8,
11-May-90,5,1990,15.44,2.9,0.38,17.7,,3.2,,19.5,7,16.8,
14-May-90,5,1990,10.6,2.7,0.35,16.8,,1.2,28.7,,,9.8,
20-May-90,5,1990,16.58,1.8,0.23,14.4,,1.8,,17.5,7.4,11.8,
28-May-90,5,1990,16.64,0.3,0.04,10,,3.1,25.8,18.9,7.2,11.2,
4-Jun-90,6,1990,6.21,0.4,0.01,3.8,,3.3,,,,18.2,
11-Jun-90,6,1990,17.94,0.9,0.02,4,,2.8,23,22,7.1,15.2,
18-Jun-90,6,1990,17.86,1.2,0.01,3.4,,3.8,,21,7.2,15.8,
26-Jun-90,6,1990,,0.2,0.01,5.4,,3.7,24.8,,7.1,14.6,
2-Jul-90,7,1990,17.38,0.3,0.01,3.8,,3.3,,20.5,7,11.6,
10-Jul-90,7,1990,17.04,0.2,0.01,6.3,,3.6,25.5,23,6.9,10.6,
17-Jul-90,7,1990,7.87,0.1,0.01,14.6,,3.5,,22,6.8,11.6,
18-Jul-90,7,1990,8.81,0.1,,,,,,22,6.8,13.2,
24-Jul-90,7,1990,7.46,0.2,0.01,14.8,,4.2,27.3,22,6.9,16,
30-Jul-90,7,1990,7.51,0.2,0.01,16.2,,4.6,,23,6.9,15.4,
7-Aug-90,8,1990,7.43,0.1,,,,,27.3,24.5,6.9,13.2,
12-Aug-90,8,1990,7.62,0.3,0.02,13.8,,3.2,,24,6.7,12,
21-Aug-90,8,1990,15.33,2.9,0.16,11.5,,4.3,29,21.5,7.3,14.8,
29-Aug-90,8,1990,12.4,0.6,0.09,17,,3.1,,22,7,13.6,
5-Sep-90,9,1990,13.75,0.6,0.04,13.8,,3.4,28.4,22.5,6.8,14,
9-Sep-90,9,1990,13.25,0.4,0.03,16.9,,3.8,,22,6.9,15.8,
18-Sep-90,9,1990,12.69,0.2,0.02,,,4,28.5,21.5,7,13.2,
19-Sep-90,9,1990,12.54,,,19.1,,,,20.5,7.1,13.2,
25-Sep-90,9,1990,5.9,0.4,0.01,9.5,,3.7,,21.5,6.9,11.4,
4-Oct-90,10,1990,17.46,2.8,0.26,14.7,,3.4,,22,7.3,12.6,
8-Oct-90,10,1990,17.19,1,0.19,17.2,,2.4,,21,7.1,11.4,
15-Oct-90,10,1990,13.6,1,0.11,19.7,,3.4,27.3,18,6.6,12.6,
23-Oct-90,10,1990,11.46,1.6,,,,,,19,7,9.8,
24-Oct-90,10,1990,14.91,,,18.3,,3.5,25.7,19,7,10.8,
28-Oct-90,10,1990,14.61,2,,,,,,18,7.2,10.8,
29-Oct-90,10,1990,14.61,,,18.3,,2.5,,17,7.2,12.2,
8-Nov-90,11,1990,11.74,1.8,0.04,22.1,,3,,14,7,19.2,
13-Nov-90,11,1990,6.56,0.6,0.02,19.8,,2.3,33.6,16,6.8,11.2,
17-Nov-90,11,1990,6.66,0.4,0.02,10.4,,3.4,,15,6.8,14.6,
25-Nov-90,11,1990,9.08,0.5,0.02,26,,3.9,25.7,13.5,6.8,11.4,
6-Dec-90,12,1990,14.5,5.4,0.76,,,4.4,20.2,11,7,8.8,
10-Dec-90,12,1990,14.26,3.9,,19.9,,3.6,33.6,11.5,7.1,8.8,
12-Dec-90,12,1990,8.31,,0.83,,,,,12,7.4,12,
18-Dec-90,12,1990,13.84,2.6,0.85,21.1,,4.8,,10.1,6.9,9.2,
27-Dec-90,12,1990,11.48,5,,18.9,,2.5,,6,7,15.6,
1-Jan-91,1,1991,8.82,0.5,0.02,19.8,,5.6,,7,7,10.8,
9-Jan-91,1,1991,3.62,2.5,,17.8,,3.9,20,,,17.8,
10-Jan-91,1,1991,14.86,,0.86,,,,,10.5,7,12.4,
17-Jan-91,1,1991,14.68,1.9,0.4,,,,,14,7,13,
23-Jan-91,1,1991,11.89,1.3,0.34,22.2,,3.3,20,12,6.8,13.2,
29-Jan-91,1,1991,13.72,1.6,0.23,21.1,,2.6,,13,6.8,10.6,
5-Feb-91,2,1991,12.33,,,,,,18.1,15,6.6,14.8,
7-Feb-91,2,1991,11.99,0.2,0.03,22.5,,3.3,,14.5,6.6,6.8,
12-Feb-91,2,1991,7.24,0.3,,23.5,,3.5,,16,6.5,9.8,
14-Feb-91,2,1991,9.18,,0.09,,,,,15.5,6.7,12,
20-Feb-91,2,1991,14.33,,,,,,16.2,15,6.8,14.2,
21-Feb-91,2,1991,17.41,1,0.1,4.1,,3.6,,15.5,6.7,16.4,
25-Feb-91,2,1991,3.1,2.1,0.2,25.5,,2.1,,,,20.8,
5-Mar-91,3,1991,10.95,5.8,0.1,15,,5.7,18.1,13.5,7.1,19,
14-Mar-91,3,1991,9.54,2.7,0.35,22.5,,2.1,,12,6.9,8.8,
19-Mar-91,3,1991,18.42,12,1,16.5,,1.1,23.1,12,7.3,8.6,
21-Mar-91,3,1991,10.67,9.6,0.85,,,,,12,7.2,10.6,
24-Mar-91,3,1991,17.77,10.1,0.75,16,,1.5,,11.5,7.2,10,
3-Apr-91,4,1991,14.67,4,0.55,18.2,,4.4,21.2,16.5,7,11.6,
8-Apr-91,4,1991,15.61,4.9,0.75,18.8,,3.5,21.6,15,7.2,13.4,
15-Apr-91,4,1991,23.54,15.1,0.85,13.2,,4.7,,15,7.5,13.4,
23-Apr-91,4,1991,4.8,0.9,0.2,28,,3.3,,15.5,6.7,9.4,
25-Apr-91,4,1991,9.16,0.9,,,,,,16.5,7,8.4,
28-Apr-91,4,1991,17.73,3.3,1.05,22.8,,3.3,,19.5,7.2,10,
8-May-91,5,1991,12.79,3.6,0.9,22.3,,2.2,,18.5,6.8,9.4,
9-May-91,5,1991,17.49,,,,,,22.3,16,7.4,9.8,
13-May-91,5,1991,17.68,3.6,1.25,22,,2.8,26.2,17,7.3,8.6,
20-May-91,5,1991,17.22,1.5,0.65,21.7,,3.1,,17,7,11,
21-May-91,5,1991,17.27,,,,,,23.1,18,7,6.8,
28-May-91,5,1991,14.11,0.9,0.1,28.8,,2.9,,19.5,6.8,9.6,
6-Jun-91,6,1991,17.22,2.5,0.59,28.3,,0.7,,19,7.2,10,
8-Jun-91,6,1991,16.57,1.9,,,,,,23.5,7.2,10,
12-Jun-91,6,1991,7.72,1.1,0.02,24.2,,1.4,29.3,21.5,6.9,5,
13-Jun-91,6,1991,7.51,,0.01,,,,,20,7.1,11.3,
16-Jun-91,6,1991,7.56,0.2,0.01,,,3.5,,20,7,7.6,
25-Jun-91,6,1991,6.15,0.2,0.01,16.5,,3.8,22.3,17,7.1,10.6,
2-Jul-91,7,1991,13.41,0.3,0.01,11.2,,2.9,,26,7.2,6.2,
8-Jul-91,7,1991,13.64,0.4,0.01,15.5,,2,29.3,21.5,7.2,12.4,
14-Jul-91,7,1991,10.42,0.6,0.01,13.8,,4.7,,22,7,7.2,
23-Jul-91,7,1991,16,,0.01,23.8,,,29.3,22.5,7.1,12.8,
25-Jul-91,7,1991,17.19,0.2,,,,,,23,7.3,9.4,
28-Jul-91,7,1991,16.82,0.4,0.01,20,,5.5,,24,7.1,10.8,
5-Aug-91,8,1991,9.12,0.4,0.01,7.5,,4,27.8,20,6.8,13.4,
12-Aug-91,8,1991,12.95,1.9,0.15,10.8,,3.8,,23,7,14.8,
19-Aug-91,8,1991,12.82,1.1,0.21,7.5,,3.1,29.4,21,7,13,
27-Aug-91,8,1991,14.08,1.8,0.19,11.5,,2.2,,20,6.8,14.6,
2-Sep-91,9,1991,8.29,0.5,0.01,26,,2,34.4,23.5,6.6,11.6,
12-Sep-91,9,1991,8.65,1.4,0.01,26.2,,2.2,,12,6.8,13,
16-Sep-91,9,1991,12.43,4.4,0.01,19,,5.7,29.3,22,6.9,15.6,
23-Sep-91,9,1991,0,1.4,,,,,,,,9.2,
29-Sep-91,9,1991,6.28,0.7,0.01,23,,3.6,,22,6.6,14.8,
2-Oct-91,10,1991,9.32,0.4,0.02,26.4,,2.9,26.6,21.5,6.8,13.4,
9-Oct-91,10,1991,16.58,3.6,,,,4.6,,21.5,6.8,13.6,
10-Oct-91,10,1991,16.2,,0.05,17.2,,,,21.5,6.9,9,
13-Oct-91,10,1991,16.06,2.5,0.02,20.8,,4.5,,23,6.6,8.4,
20-Oct-91,10,1991,13.75,2,,22.8,,4.8,,22,6.5,17.6,
21-Oct-91,10,1991,15.26,,0.48,,,,,20.5,6.5,15.6,
28-Oct-91,10,1991,16.16,3.9,1.04,16.9,,5.4,21.6,15,6.6,18.8,
4-Nov-91,11,1991,16.53,2.4,0.78,23.1,,6.3,27,16.5,6.5,12.6,
14-Nov-91,11,1991,14.46,2.2,0.5,22,,7.5,,16,6.8,12.8,
