Date,Month,Year,pH,Flow,Temp,Flow_gal,TP,TSS,NH3,TKN,NO2,NO3
2/17/1978,2,1978,,44,,44200000,8,,,,,
2/21/1978,2,1978,,36,,35800000,,,19,,,
2/22/1978,2,1978,,34,,34100000,25.1,,,,,
2/23/1978,2,1978,,36,,36000000,,,21.4,,,
2/28/1978,2,1978,,34,,33800000,,,22.5,,,
3/2/1978,3,1978,,38,,37900000,11.9,,23.3,,,
3/7/1978,3,1978,,71,,71000000,11.3,,14,,,
3/9/1978,3,1978,,68,,67900000,14.1,,11.5,,,
3/14/1978,3,1978,,50,,49700000,22.9,,16,,,
3/16/1978,3,1978,,39,,39200000,12.9,,19,,,
3/21/1978,3,1978,,36,,36200000,20.8,,18.3,,,
3/24/1978,3,1978,,38,,38200000,16.8,,18.3,,,
3/28/1978,3,1978,,33,,33400000,19.6,,22,,,
3/30/1978,3,1978,,32,,32000000,7,,21.5,,,
4/4/1978,4,1978,,44,,43700000,,,7.3,,,
4/11/1978,4,1978,,43,,43100000,7,,5.7,,,
4/13/1978,4,1978,,38,,38000000,,,3,,,
4/18/1978,4,1978,,41,,41300000,5.6,,5,,,
4/20/1978,4,1978,,34,,34200000,3.9,,10.7,,,
4/25/1978,4,1978,,39,,39000000,6.4,,7.3,,,
4/27/1978,4,1978,,35,,35000000,5.1,,5.5,,,
5/2/1978,5,1978,,32,,31700000,6,,9.2,,,
5/4/1978,5,1978,,34,,33600000,5.5,,19.2,,,
5/9/1978,5,1978,,31,,30800000,5.5,,16,,,
5/11/1978,5,1978,,29,,29100000,7.4,,23,,,
5/16/1978,5,1978,,35,,35100000,9,,6.2,,,
5/18/1978,5,1978,,35,,34700000,12.6,,3,,,
5/23/1978,5,1978,,31,,30600000,10,,6,,,
5/25/1978,5,1978,,26,,25800000,9.6,,,,,
5/30/1978,5,1978,,32,,32400000,,,0.7,,,
6/6/1978,6,1978,,29,,28800000,,,,,,
6/8/1978,6,1978,,31,,31400000,,,1.6,,,
6/13/1978,6,1978,,28,,27600000,38.3,,0.8,,,
6/15/1978,6,1978,,31,,31100000,33.7,,0.6,,,
6/20/1978,6,1978,,28,,28300000,,,0.8,,,
6/22/1978,6,1978,,28,,27900000,29.4,,0.6,,,
6/27/1978,6,1978,,30,,29800000,22,,0.8,,,
6/29/1978,6,1978,,27,,26900000,22,,0.6,,,
7/5/1978,7,1978,,27,,27300000,13.5,,1.5,,,
7/7/1978,7,1978,,32,,31600000,33.7,,,,,
7/11/1978,7,1978,,29,,29300000,21.4,,14.2,,,
7/13/1978,7,1978,,28,,28200000,38.3,,16.4,,,
7/18/1978,7,1978,,28,,28400000,17.1,,4.8,,,
7/20/1978,7,1978,,28,,27500000,,,9.2,,,
7/25/1978,7,1978,,28,,27600000,12.9,,3.2,,,
7/26/1978,7,1978,,29,,28800000,11,,0.4,,,
8/1/1978,8,1978,,32,,31700000,7.3,,2.4,,,
8/3/1978,8,1978,,26,,26100000,2.4,,,,,
8/8/1978,8,1978,,30,,30200000,15.9,,0.5,,,
8/10/1978,8,1978,,30,,29600000,34.3,,0.2,,,
8/15/1978,8,1978,,30,,30400000,10.7,,,,,
8/17/1978,8,1978,,30,,29500000,8,,,,,
8/22/1978,8,1978,,27,,27400000,,,0.7,,,
8/23/1978,8,1978,,28,,28100000,6.1,,,,,
8/25/1978,8,1978,,27,,26900000,8.6,,0.7,,,
8/29/1978,8,1978,,30,,30000000,1.2,,0.4,,,
8/31/1978,8,1978,,26,,26100000,6.1,,0.2,,,
9/5/1978,9,1978,,31,,30600000,11,,1.2,,,
9/7/1978,9,1978,,30,,30200000,7.3,,0.5,,,
9/12/1978,9,1978,,26,,26300000,9.2,,0.3,,,
9/14/1978,9,1978,,31,,31400000,7.3,,0.4,,,
9/19/1978,9,1978,,29,,28600000,7.6,,0.3,,,
9/22/1978,9,1978,,29,,28500000,7.6,,0.3,,,
9/26/1978,9,1978,,30,,29700000,8.6,,0.6,,,
9/28/1978,9,1978,,26,,26400000,5.5,,0.5,,,
10/3/1978,10,1978,,29,,28600000,15.3,,0.2,,,
10/5/1978,10,1978,,28,,28400000,6.7,,0.2,,,
10/10/1978,10,1978,,30,,30400000,10.7,,0.2,,,
10/13/1978,10,1978,,26,,26300000,6.7,,0.1,,,
10/17/1978,10,1978,,24,,24300000,9.2,,0.2,,,
10/19/1978,10,1978,,27,,27200000,6.1,,0.3,,,
10/24/1978,10,1978,,28,,27900000,6.1,,0.4,,,
10/25/1978,10,1978,,32,,31800000,11.6,,0.3,,,
10/31/1978,10,1978,,31,,31300000,8.6,,0.3,,,
11/2/1978,11,1978,,32,,32400000,9.2,,0.3,,,
11/8/1978,11,1978,,32,,32000000,9.8,,8.2,,,
11/9/1978,11,1978,,32,,32200000,3.1,,,,,
11/14/1978,11,1978,,32,,32400000,14.7,,,,,
11/15/1978,11,1978,,29,,29100000,,,0.6,,,
11/16/1978,11,1978,,30,,30200000,17.1,,,,,
11/21/1978,11,1978,,32,,32100000,12.8,,0.6,,,
11/22/1978,11,1978,,31,,31300000,6.7,,0.7,,,
11/27/1978,11,1978,,33,,33400000,,,1.6,,,
11/28/1978,11,1978,,30,,30400000,6.1,,0.2,,,
11/30/1978,11,1978,,32,,31500000,11,,0.1,,,
12/1/1978,12,1978,,34,,34330000,,,0.1,,,
12/5/1978,12,1978,,29,,28940000,1,,0.3,,,
12/7/1978,12,1978,,30,,29860000,2.3,,1.7,,,
12/9/1978,12,1978,,34,,33860000,,,0.1,,,
12/11/1978,12,1978,,34,,34090000,,,0.1,,,
12/12/1978,12,1978,,32,,31530000,2.1,,0.1,,,
12/14/1978,12,1978,,33,,33000000,2,,,,,
12/15/1978,12,1978,,30,,30180000,,,0.1,,,
12/18/1978,12,1978,,37,,37220000,,,1.9,,,
12/19/1978,12,1978,,36,,36030000,2,,,,,
12/21/1978,12,1978,,31,,31100000,1.9,,0.1,,,
12/24/1978,12,1978,,38,,37880000,,,,,,
12/26/1978,12,1978,,31,,31370000,,,0.3,,,
12/27/1978,12,1978,,35,,35490000,1.6,,,,,
12/29/1978,12,1978,,30,,30100000,,,0.1,,,
12/31/1978,12,1978,,35,,34730000,,,0.1,,,
1/1/1979,1,1979,,35,,34890000,,,0.1,,,
1/2/1979,1,1979,,33,,32750000,2.2,,0.1,,,
1/3/1979,1,1979,,33,,32790000,2.4,,0.1,,,
1/4/1979,1,1979,,35,,34810000,,,0.1,,,
1/5/1979,1,1979,,34,,33980000,,,0.1,,,
1/6/1979,1,1979,,34,,34050000,,,0.1,,,
1/7/1979,1,1979,,36,,36340000,,,0.1,,,
1/8/1979,1,1979,,46,,45520000,,,0.1,,,
1/9/1979,1,1979,,39,,38940000,4,,0.4,,,
1/10/1979,1,1979,,34,,34300000,,,0.1,,,
1/11/1979,1,1979,,71,,70750000,1.5,,0.1,,,
1/12/1979,1,1979,,47,,46930000,,,0.1,,,
1/13/1979,1,1979,,43,,43250000,,,0.1,,,
1/14/1979,1,1979,,60,,59800000,,,0.1,,,
1/15/1979,1,1979,,82,,81600000,,,0.1,,,
1/16/1979,1,1979,,63,,63190000,1.3,,0.1,,,
1/17/1979,1,1979,,55,,54600000,,,0.1,,,
1/18/1979,1,1979,,49,,48900000,1.4,,0.1,,,
1/19/1979,1,1979,,42,,42210000,,,0.1,,,
1/20/1979,1,1979,,41,,40510000,,,0.1,,,
1/21/1979,1,1979,,37,,36770000,,,0.1,,,
1/22/1979,1,1979,,37,,37180000,2.3,,0.1,,,
1/23/1979,1,1979,,35,,35370000,,,0.1,,,
1/24/1979,1,1979,,35,,35000000,,,0.1,,,
1/25/1979,1,1979,,35,,35370000,2.5,,0.1,,,
1/26/1979,1,1979,,35,,34690000,,,0.1,,,
1/27/1979,1,1979,,38,,38240000,,,0.1,,,
1/28/1979,1,1979,,37,,36670000,,,0.1,,,
1/29/1979,1,1979,,36,,35680000,2.3,,0.1,,,
1/31/1979,1,1979,,,,0,1.5,,,,,
2/1/1979,2,1979,,34,,33990000,1.2,,0.1,,,
2/2/1979,2,1979,,34,,34120000,,,0.1,,,
2/3/1979,2,1979,,35,,35150000,,,0.1,,,
2/4/1979,2,1979,,34,,33990000,,,0.1,,,
2/5/1979,2,1979,,35,,34570000,1.9,,0.1,,,
2/6/1979,2,1979,,34,,33700000,,,0.1,,,
2/7/1979,2,1979,,33,,33000000,1.4,,0.1,,,
2/8/1979,2,1979,,34,,33940000,,,0,,,
2/9/1979,2,1979,,34,,34130000,,,0,,,
2/10/1979,2,1979,,34,,33980000,,,0,,,
2/11/1979,2,1979,,33,,32540000,,,0,,,
2/12/1979,2,1979,,33,,33100000,,,0.1,,,
2/13/1979,2,1979,,42,,42390000,1.3,,0,,,
2/14/1979,2,1979,,55,,54750000,,,0,,,
2/15/1979,2,1979,,36,,35590000,0.7,,0.1,,,
2/16/1979,2,1979,,44,,43520000,,,0.1,,,
2/17/1979,2,1979,,42,,41590000,,,0.2,,,
2/18/1979,2,1979,,42,,42080000,,,0,,,
2/19/1979,2,1979,,40,,40380000,,,0.1,,,
2/20/1979,2,1979,,51,,51200000,1.2,,0,,,
2/21/1979,2,1979,,67,,67040000,1,,0.1,,,
2/22/1979,2,1979,,71,,70650000,,,0,,,
2/23/1979,2,1979,,61,,60970000,1.3,,0.1,,,
2/24/1979,2,1979,,52,,52270000,,,0.1,,,
2/25/1979,2,1979,,48,,47550000,,,0.4,,,
2/26/1979,2,1979,,47,,47060000,,,0.5,,,
2/27/1979,2,1979,,45,,44770000,2.2,,0.1,,,
2/28/1979,2,1979,,46,,45930000,,,0.1,,,
3/1/1979,3,1979,,48,,48290000,1.7,,0,,,
3/2/1979,3,1979,,47,,46850000,,,,,,
3/3/1979,3,1979,,47,,47150000,,,0.7,,,
3/4/1979,3,1979,,46,,45720000,,,0.8,,,
3/5/1979,3,1979,,46,,46490000,2.3,,0.8,,,
3/6/1979,3,1979,,37,,36830000,,,0.4,,,
3/7/1979,3,1979,,37,,36880000,2.3,,0.5,,,
3/8/1979,3,1979,,40,,39520000,,,0.1,,,
3/9/1979,3,1979,,40,,39860000,1.8,,0.7,,,
3/10/1979,3,1979,,40,,40110000,,,0.9,,,
3/11/1979,3,1979,,39,,39360000,,,0.4,,,
3/12/1979,3,1979,,40,,40200000,2.4,,1.9,,,
3/13/1979,3,1979,,38,,38220000,,,0.8,,,
3/14/1979,3,1979,,40,,39620000,2.4,,0,,,
3/15/1979,3,1979,,38,,38440000,,,2.4,,,
3/16/1979,3,1979,,40,,40230000,2.1,,0.1,,,
3/17/1979,3,1979,,44,,44100000,,,0.8,,,
3/18/1979,3,1979,,40,,40270000,,,0.6,,,
3/19/1979,3,1979,,39,,38930000,2.4,,0.4,,,
3/20/1979,3,1979,,39,,39330000,,,0.2,,,
3/21/1979,3,1979,,38,,38260000,2.5,,0.2,,,
3/22/1979,3,1979,,38,,38160000,,,0.1,,,
3/23/1979,3,1979,,39,,38570000,,,0,,,
3/24/1979,3,1979,,39,,38750000,,,0,,,
3/25/1979,3,1979,,40,,39630000,,,0.1,,,
3/26/1979,3,1979,,40,,40370000,2.5,,0,,,
3/27/1979,3,1979,,47,,46540000,,,0.1,,,
3/28/1979,3,1979,,50,,50180000,2.2,,0.1,,,
3/29/1979,3,1979,,45,,45060000,,,0.1,,,
3/30/1979,3,1979,,38,,37900000,,,0,,,
3/31/1979,3,1979,,36,,36010000,,,0,,,
4/1/1979,4,1979,,39,,39300000,,,0.6,,,
4/2/1979,4,1979,,40,,40100000,2.7,,0.8,,,
4/3/1979,4,1979,,39,,39220000,,,0.1,,,
4/4/1979,4,1979,,38,,38330000,,,0.2,,,
4/5/1979,4,1979,,36,,36440000,2.5,,0,,,
4/6/1979,4,1979,,38,,38090000,,,0,,,
4/7/1979,4,1979,,39,,38890000,,,0.1,,,
4/8/1979,4,1979,,40,,39690000,,,0.1,,,
4/9/1979,4,1979,,39,,39220000,,,0.2,,,
4/10/1979,4,1979,,37,,36760000,5.4,,0.9,,,
4/11/1979,4,1979,,37,,37430000,2.9,,0.2,,,
4/12/1979,4,1979,,36,,36240000,,,0.2,,,
4/13/1979,4,1979,,34,,34370000,,,1.1,,,
4/14/1979,4,1979,,33,,32990000,,,3.9,,,
4/15/1979,4,1979,,33,,33160000,,,5.3,,,
4/16/1979,4,1979,,33,,33350000,2.8,,8.7,,,
4/17/1979,4,1979,,33,,32570000,,,10.7,,,
4/18/1979,4,1979,,38,,37840000,2.2,,8.9,,,
4/19/1979,4,1979,,42,,41850000,,,0.3,,,
4/20/1979,4,1979,,41,,40880000,,,0.3,,,
4/21/1979,4,1979,,40,,39900000,,,0.9,,,
4/22/1979,4,1979,,39,,38810000,,,0,,,
4/23/1979,4,1979,,40,,39580000,2.9,,1.5,,,
4/24/1979,4,1979,,34,,34260000,,,3.8,,,
4/25/1979,4,1979,,37,,37150000,2.5,,8.9,,,
4/26/1979,4,1979,,38,,37880000,,,7.3,,,
4/27/1979,4,1979,,38,,38210000,,,8.1,,,
4/28/1979,4,1979,,38,,37960000,,,15.2,,,
4/29/1979,4,1979,,38,,38260000,,,9.1,,,
4/30/1979,4,1979,,38,,37660000,,,9.1,,,
5/1/1979,5,1979,,37,,37340000,2.5,,11.3,,,
5/2/1979,5,1979,,37,,36650000,,,7.9,,,
5/3/1979,5,1979,,39,,39460000,2.4,,8.3,,,
5/4/1979,5,1979,,37,,37050000,,,8.1,,,
5/5/1979,5,1979,,43,,43220000,,,7,,,
5/6/1979,5,1979,,41,,41280000,,,6.6,,,
5/7/1979,5,1979,,42,,41610000,,,8.1,,,
5/8/1979,5,1979,,38,,38040000,1.9,,10.3,,,
5/9/1979,5,1979,,43,,43310000,,,16.2,,,
5/10/1979,5,1979,,43,,43210000,1.9,,14.7,,,
5/11/1979,5,1979,,39,,39450000,,,13.4,,,
5/12/1979,5,1979,,41,,40800000,,,10.5,,,
5/13/1979,5,1979,,37,,36710000,,,7,,,
5/14/1979,5,1979,,37,,37110000,1.7,,7.2,,,
5/15/1979,5,1979,,35,,34800000,,,9.6,,,
5/16/1979,5,1979,,36,,36340000,,,8,,,
5/17/1979,5,1979,,37,,36950000,,,12.9,,,
5/18/1979,5,1979,,38,,38170000,3.5,,8.7,,,
5/19/1979,5,1979,,32,,31560000,,,10.2,,,
5/20/1979,5,1979,,34,,34000000,,,8.6,,,
5/21/1979,5,1979,,36,,36350000,,,4.8,,,
5/22/1979,5,1979,,35,,35400000,3.2,,15,,,
5/23/1979,5,1979,,36,,35590000,,,16.9,,,
5/24/1979,5,1979,,36,,35960000,2.9,,23.8,,,
5/25/1979,5,1979,,34,,33520000,,,11.7,,,
5/26/1979,5,1979,,31,,30750000,,,9.9,,,
5/27/1979,5,1979,,29,,29310000,,,10.4,,,
5/28/1979,5,1979,,32,,32130000,,,5.9,,,
5/29/1979,5,1979,,33,,33490000,,,8.7,,,
5/30/1979,5,1979,,33,,32970000,3.8,,7.5,,,
5/31/1979,5,1979,,33,,33300000,,,6,,,
6/1/1979,6,1979,,32,,31540000,,,6.6,,,
6/2/1979,6,1979,,35,,35450000,,,2.8,,,
6/3/1979,6,1979,,31,,30790000,,,4.8,,,
6/4/1979,6,1979,,31,,31400000,3.2,,4.8,,,
6/5/1979,6,1979,,31,,30810000,,,6.6,,,
6/6/1979,6,1979,,31,,30870000,7.5,,13.3,,,
6/7/1979,6,1979,,34,,33630000,,,10.7,,,
6/8/1979,6,1979,,35,,35270000,4.2,,4.8,,,
6/9/1979,6,1979,,31,,31440000,,,5.5,,,
6/10/1979,6,1979,,31,,31220000,,,9.4,,,
6/11/1979,6,1979,,31,,31270000,,,9.7,,,
6/12/1979,6,1979,,33,,33400000,3.5,,14.3,,,
6/13/1979,6,1979,,31,,31170000,,,6.3,,,
6/14/1979,6,1979,,36,,35860000,3.4,,4.7,,,
6/15/1979,6,1979,,33,,33360000,,,6.4,,,
6/16/1979,6,1979,,33,,32710000,,,1.7,,,
6/17/1979,6,1979,,32,,32060000,,,1.4,,,
6/18/1979,6,1979,,32,,32260000,,,0.8,,,
6/19/1979,6,1979,,28,,28230000,4.9,,9.9,,,
6/20/1979,6,1979,,29,,29460000,,,11.8,,,
6/21/1979,6,1979,,33,,33390000,4.8,,10.5,,,
6/22/1979,6,1979,,30,,30420000,,,16.5,,,
6/23/1979,6,1979,,32,,32370000,,,19.3,,,
6/24/1979,6,1979,,34,,34330000,,,20.6,,,
6/25/1979,6,1979,,36,,35940000,,,19,,,
6/26/1979,6,1979,,35,,34520000,3.8,,22.5,,,
6/27/1979,6,1979,,35,,35140000,,,9.1,,,
6/28/1979,6,1979,,33,,33460000,4.1,,3.6,,,
6/29/1979,6,1979,,34,,33760000,,,0.1,,,
6/30/1979,6,1979,,34,,34460000,,,0,,,
7/1/1979,7,1979,,35,,34580000,,,0.1,,,
7/2/1979,7,1979,,34,,34330000,2.7,,0.3,,,
7/3/1979,7,1979,,34,,33750000,,,0.1,,,
7/4/1979,7,1979,,34,,33550000,,,1.4,,,
7/5/1979,7,1979,,33,,32970000,2.3,,0.1,,,
7/6/1979,7,1979,,34,,34480000,,,0.1,,,
7/7/1979,7,1979,,29,,28870000,,,0.1,,,
7/8/1979,7,1979,,30,,29900000,,,0.1,,,
7/9/1979,7,1979,,35,,34730000,2.4,,0.1,,,
7/10/1979,7,1979,,33,,32640000,,,0.1,,,
7/11/1979,7,1979,,33,,32730000,2.5,,0.1,,,
7/12/1979,7,1979,,32,,32020000,,,0.1,,,
7/13/1979,7,1979,,30,,29850000,,,0.1,,,
7/14/1979,7,1979,,30,,29920000,,,0.1,,,
7/15/1979,7,1979,,29,,28920000,,,0.1,,,
7/16/1979,7,1979,,30,,30470000,2.7,,0.1,,,
7/17/1979,7,1979,,29,,29360000,,,0.1,,,
7/18/1979,7,1979,,31,,31420000,2.2,,0.1,,,
7/19/1979,7,1979,,32,,31820000,,,0.1,,,
7/20/1979,7,1979,,31,,30760000,,,0.1,,,
7/21/1979,7,1979,,29,,29320000,,,0.2,,,
7/22/1979,7,1979,,30,,29640000,,,0.6,,,
7/23/1979,7,1979,,31,,30810000,0.9,,0.1,,,
7/24/1979,7,1979,,32,,31570000,,,0.1,,,
7/25/1979,7,1979,,33,,32900000,1.3,,0.3,,,
7/26/1979,7,1979,,34,,33830000,,,0.1,,,
7/27/1979,7,1979,,34,,33800000,1.4,,0.7,,,
7/28/1979,7,1979,,34,,33940000,,,0.2,,,
7/29/1979,7,1979,,33,,32790000,,,0.8,,,
7/30/1979,7,1979,,34,,33700000,3,,0.1,,,
7/31/1979,7,1979,,33,,32950000,,,0.9,,,
8/1/1979,8,1979,,33,,32670000,3.4,,0.7,,,
8/2/1979,8,1979,,33,,33070000,,,0.4,,,
8/3/1979,8,1979,,32,,32460000,,,5.8,,,
