Date,Month,Year,Flow,NH3,NO2,NO3,PO4
20-Apr-94,4,1994,22.22,,,,
21-Apr-94,4,1994,21.87,0.1,0.002,18,
22-Apr-94,4,1994,21.51,,,,
23-Apr-94,4,1994,22.1,0.1,,,
24-Apr-94,4,1994,21.26,,,,
25-Apr-94,4,1994,23.47,,,,
26-Apr-94,4,1994,23.23,0.1,,,
27-Apr-94,4,1994,22.98,,,,
28-Apr-94,4,1994,22.42,,,,
29-Apr-94,4,1994,25.95,,,,
30-Apr-94,4,1994,19.44,,,,
1-May-94,5,1994,20.42,,,,
2-May-94,5,1994,22.332,,,,
3-May-94,5,1994,21.612,,,,
4-May-94,5,1994,22.072,0.1,0.002,19,13
5-May-94,5,1994,22.162,,,,
6-May-94,5,1994,23.272,,,,
7-May-94,5,1994,26.27,,,,
8-May-94,5,1994,21.11,,,,
9-May-94,5,1994,23.412,0.55,,,
10-May-94,5,1994,22.992,,,,
11-May-94,5,1994,22.792,,,,
12-May-94,5,1994,22.262,,,,
13-May-94,5,1994,23.13,,,,
14-May-94,5,1994,20.892,,,,
15-May-94,5,1994,21.23,,,,
16-May-94,5,1994,22.812,,,,
17-May-94,5,1994,23.102,1,0.002,17,
18-May-94,5,1994,22.082,,,,
19-May-94,5,1994,24.462,,,,
20-May-94,5,1994,20.752,,,,
21-May-94,5,1994,22.43,,,,
22-May-94,5,1994,21.35,0.1,,,
23-May-94,5,1994,21.822,,,,
24-May-94,5,1994,23.832,,,,
25-May-94,5,1994,22.042,,,,
26-May-94,5,1994,22.382,,,,
27-May-94,5,1994,21.772,,,,
28-May-94,5,1994,21.08,,,,
29-May-94,5,1994,21,,,,
30-May-94,5,1994,20.6,,,,
31-May-94,5,1994,22.892,,,,
1-Jun-94,6,1994,21.32,,,,
2-Jun-94,6,1994,21.89,0.1,0.003,18,12
3-Jun-94,6,1994,25.08,,,,
4-Jun-94,6,1994,22.32,,,,
5-Jun-94,6,1994,21.42,,,,
6-Jun-94,6,1994,21.15,,,,
7-Jun-94,6,1994,22.3,,,,
8-Jun-94,6,1994,23.1,0.1,,,
9-Jun-94,6,1994,20.94,,,,
10-Jun-94,6,1994,21.76,,,,
11-Jun-94,6,1994,20.74,,,,
12-Jun-94,6,1994,20.24,,,,
13-Jun-94,6,1994,22.61,,,,
14-Jun-94,6,1994,21.13,0.1,0.002,16,
15-Jun-94,6,1994,21.51,,,,
16-Jun-94,6,1994,21.53,,,,
17-Jun-94,6,1994,21.63,,,,
18-Jun-94,6,1994,21.21,,,,
19-Jun-94,6,1994,20.14,,,,
20-Jun-94,6,1994,22.74,2.9,,,
21-Jun-94,6,1994,23.99,0.6,,,
22-Jun-94,6,1994,20.02,,,,
23-Jun-94,6,1994,22.32,,,,
24-Jun-94,6,1994,23.19,,,,
25-Jun-94,6,1994,23.22,,,,
26-Jun-94,6,1994,23.04,0.1,0.002,18,
27-Jun-94,6,1994,25.52,,,,
28-Jun-94,6,1994,21.42,,,,
29-Jun-94,6,1994,20.14,,,,
30-Jun-94,6,1994,23.28,,,,
1-Jul-94,7,1994,24.28,,,,
2-Jul-94,7,1994,23.75,,,,
3-Jul-94,7,1994,19.4,,,,
4-Jul-94,7,1994,20.97,,,,
5-Jul-94,7,1994,23.08,0.1,,,12
6-Jul-94,7,1994,23.29,,,,
7-Jul-94,7,1994,23.56,,,,
8-Jul-94,7,1994,23.39,,,,
9-Jul-94,7,1994,23.395,,,,
10-Jul-94,7,1994,23.03,,,,
11-Jul-94,7,1994,21.85,,,,
12-Jul-94,7,1994,23.33,,,,
13-Jul-94,7,1994,23.83,,,,
14-Jul-94,7,1994,23.98,0.3,0.003,18,
15-Jul-94,7,1994,23.26,,,,
16-Jul-94,7,1994,21.714,,,,
17-Jul-94,7,1994,20.34,,,,
18-Jul-94,7,1994,22.49,,,,
19-Jul-94,7,1994,23.37,,,,
20-Jul-94,7,1994,23.67,0.4,,,
21-Jul-94,7,1994,23.34,,,,
22-Jul-94,7,1994,22.83,,,,
23-Jul-94,7,1994,23.266,,,,
24-Jul-94,7,1994,22.11,,,,
25-Jul-94,7,1994,24.61,,,,
26-Jul-94,7,1994,23.61,0.27,0.005,18,
27-Jul-94,7,1994,24.17,,,,
28-Jul-94,7,1994,23.22,,,,
29-Jul-94,7,1994,24.62,,,,
30-Jul-94,7,1994,24.634,,,,
31-Jul-94,7,1994,18.95,,,,
1-Aug-94,8,1994,26.73,,,,
2-Aug-94,8,1994,19.05,,,,
3-Aug-94,8,1994,20.51,0.3,,,
4-Aug-94,8,1994,20.72,,0.008,,
5-Aug-94,8,1994,20.87,,,,
6-Aug-94,8,1994,21.185,,,,
7-Aug-94,8,1994,18.25,0.1,0.003,16,
8-Aug-94,8,1994,21.88,,,,
9-Aug-94,8,1994,20.16,,,,
10-Aug-94,8,1994,20.77,,,,
11-Aug-94,8,1994,21.11,,,,
12-Aug-94,8,1994,21.65,,,,
13-Aug-94,8,1994,20.74,,,,
14-Aug-94,8,1994,19.64,,,,
15-Aug-94,8,1994,21.56,0.2,,,
16-Aug-94,8,1994,21.4,,,,
17-Aug-94,8,1994,21.79,,,,
18-Aug-94,8,1994,22.24,,,,
19-Aug-94,8,1994,22.49,,,,
20-Aug-94,8,1994,21.216,,,,
21-Aug-94,8,1994,20.46,,,,
22-Aug-94,8,1994,21.51,,,,
23-Aug-94,8,1994,22.11,0.3,0.004,16,12
24-Aug-94,8,1994,21.27,,,,
25-Aug-94,8,1994,21.24,,,,
26-Aug-94,8,1994,22.106,,,,
27-Aug-94,8,1994,19.886,,,,
28-Aug-94,8,1994,19.85,,,,
29-Aug-94,8,1994,21.88,,,,
30-Aug-94,8,1994,21.904,,,,
31-Aug-94,8,1994,22.125,,,,
1-Sep-94,9,1994,26.62,,,,
2-Sep-94,9,1994,16.96,,,,
3-Sep-94,9,1994,19.616,0.2,,,
4-Sep-94,9,1994,18.57,,,,
5-Sep-94,9,1994,19.63,,,,
6-Sep-94,9,1994,21.52,,,,
7-Sep-94,9,1994,22.18,0.3,0.004,16,9.8
8-Sep-94,9,1994,23.05,,,,
9-Sep-94,9,1994,22.585,,,,
10-Sep-94,9,1994,20.44,,,,
11-Sep-94,9,1994,20.22,,,,
12-Sep-94,9,1994,21.88,,,,
13-Sep-94,9,1994,20.28,0.2,,,
14-Sep-94,9,1994,20.66,,,,
15-Sep-94,9,1994,20.37,,,,
16-Sep-94,9,1994,22.764,,,,
17-Sep-94,9,1994,21.436,,,,
18-Sep-94,9,1994,19.9,,,,
19-Sep-94,9,1994,20.97,0.6,0.044,16,
20-Sep-94,9,1994,21.74,,,,
21-Sep-94,9,1994,21.56,,,,
22-Sep-94,9,1994,20.74,,,,
23-Sep-94,9,1994,22.705,,,,
24-Sep-94,9,1994,21.8,,,,
25-Sep-94,9,1994,21.37,1.1,,,
26-Sep-94,9,1994,22.26,,,,
27-Sep-94,9,1994,21.68,,,,
28-Sep-94,9,1994,22.45,,,,
29-Sep-94,9,1994,22.9,,,,
30-Sep-94,9,1994,21.86,,,,
1-Oct-94,10,1994,21.24,,,,
2-Oct-94,10,1994,21.49,,,,
3-Oct-94,10,1994,23.578,,,,
4-Oct-94,10,1994,21.446,,,,
5-Oct-94,10,1994,22.338,,,,
6-Oct-94,10,1994,22.146,1.6,0.151,17,
7-Oct-94,10,1994,22.328,,,,
8-Oct-94,10,1994,20.23,,,,
9-Oct-94,10,1994,20.62,,,,
10-Oct-94,10,1994,22.868,,,,
11-Oct-94,10,1994,22.356,,,,
12-Oct-94,10,1994,22.426,,,,
13-Oct-94,10,1994,21.118,,,,
14-Oct-94,10,1994,22.258,0.7,,,
15-Oct-94,10,1994,20.76,,,,
16-Oct-94,10,1994,20.54,,,,
17-Oct-94,10,1994,21.796,0.5,0.212,15,12
18-Oct-94,10,1994,22.386,,,,
19-Oct-94,10,1994,22.498,,,,
20-Oct-94,10,1994,22.098,,,,
21-Oct-94,10,1994,21.778,,,,
22-Oct-94,10,1994,20.9,,,,
23-Oct-94,10,1994,20.66,0.3,0.042,,
24-Oct-94,10,1994,22.536,,,,
25-Oct-94,10,1994,22.488,,,,
26-Oct-94,10,1994,22.748,,,,
27-Oct-94,10,1994,23.256,,,,
28-Oct-94,10,1994,22.938,,,,
29-Oct-94,10,1994,22.24,,,,
30-Oct-94,10,1994,21.12,,,,
31-Oct-94,10,1994,21.066,,,,
1-Nov-94,11,1994,21.598,0.6,0.004,17,12
2-Nov-94,11,1994,21.849,,,,
3-Nov-94,11,1994,21.659,,,,
4-Nov-94,11,1994,21.6,,,,
5-Nov-94,11,1994,20.32,,,,
6-Nov-94,11,1994,22.68,,,,
7-Nov-94,11,1994,22.679,0.3,,,
8-Nov-94,11,1994,22.41,,,,
9-Nov-94,11,1994,23.258,,,,
10-Nov-94,11,1994,24.87,,,,
11-Nov-94,11,1994,21.689,,,,
12-Nov-94,11,1994,21.57,,,,
13-Nov-94,11,1994,21.5,,,,
14-Nov-94,11,1994,22.049,,,,
15-Nov-94,11,1994,23.418,,,,
16-Nov-94,11,1994,22.97,0.4,0.01,19,
17-Nov-94,11,1994,24.249,,,,
18-Nov-94,11,1994,23.98,,,,
19-Nov-94,11,1994,20.55,,,,
20-Nov-94,11,1994,21.34,,,,
21-Nov-94,11,1994,22.089,0.2,,,
22-Nov-94,11,1994,22.388,,,,
23-Nov-94,11,1994,22.6,,,,
24-Nov-94,11,1994,20.429,,,,
25-Nov-94,11,1994,20.289,,,,
26-Nov-94,11,1994,20.1,,,,
27-Nov-94,11,1994,20.17,,,,
28-Nov-94,11,1994,21.51,,,,
29-Nov-94,11,1994,21.29,,,,
30-Nov-94,11,1994,21.11,,,,
1-Dec-94,12,1994,22.038,0.2,0.027,19,
2-Dec-94,12,1994,22.219,,,,
3-Dec-94,12,1994,21.749,,,,
4-Dec-94,12,1994,22.16,,,,
5-Dec-94,12,1994,22.92,,,,
6-Dec-94,12,1994,22.63,0.1,,,
7-Dec-94,12,1994,22.739,,,,
8-Dec-94,12,1994,23.24,,,,
9-Dec-94,12,1994,23.508,,,,
10-Dec-94,12,1994,22.65,,,,
11-Dec-94,12,1994,22.38,0.1,0.0005,15,13
12-Dec-94,12,1994,26.41,,,,
13-Dec-94,12,1994,23.04,,,,
14-Dec-94,12,1994,24.429,,,,
15-Dec-94,12,1994,24.09,,,,
16-Dec-94,12,1994,23.58,,,,
17-Dec-94,12,1994,23.4,,,,
18-Dec-94,12,1994,20.77,,,,
19-Dec-94,12,1994,23.52,,,,
20-Dec-94,12,1994,23.7,,,,
21-Dec-94,12,1994,23.27,,,,
22-Dec-94,12,1994,23.229,0.2,,,
23-Dec-94,12,1994,22.94,,,,
24-Dec-94,12,1994,22.48,,,,
25-Dec-94,12,1994,19.94,,,,
26-Dec-94,12,1994,21.31,,,,
27-Dec-94,12,1994,21.91,,,,
28-Dec-94,12,1994,21.94,0.3,0.025,18,
29-Dec-94,12,1994,21.84,,,,
30-Dec-94,12,1994,21.74,,,,
31-Dec-94,12,1994,20.6,,,,
1-Jan-95,1,1995,19.82,,,,
2-Jan-95,1,1995,26.27,,,,
3-Jan-95,1,1995,20.56,,,,
4-Jan-95,1,1995,23.82,0.1,,,11
5-Jan-95,1,1995,25.16,,,,
6-Jan-95,1,1995,25.98,,,,
7-Jan-95,1,1995,27.11,,,,
8-Jan-95,1,1995,25.65,,,,
9-Jan-95,1,1995,35.92,0.2,,,
10-Jan-95,1,1995,45.68,0.3,,,
11-Jan-95,1,1995,35.89,,,,
12-Jan-95,1,1995,32.688,0.1,0.003,14,
13-Jan-95,1,1995,30.899,,,,
14-Jan-95,1,1995,30.43,,,,
15-Jan-95,1,1995,28.86,,,,
16-Jan-95,1,1995,30.26,,,,
17-Jan-95,1,1995,28.849,,,,
18-Jan-95,1,1995,27.749,,,,
19-Jan-95,1,1995,27.689,,,,
20-Jan-95,1,1995,29.43,0.1,,,
21-Jan-95,1,1995,27.72,,,,
22-Jan-95,1,1995,28.9,,,,
23-Jan-95,1,1995,29.769,,,,
24-Jan-95,1,1995,31.609,0.1,0.005,8.6,
25-Jan-95,1,1995,27.149,,,,
26-Jan-95,1,1995,30.099,,,,
27-Jan-95,1,1995,41.039,,,,
28-Jan-95,1,1995,21.34,,,,
29-Jan-95,1,1995,27.83,0.1,,,
30-Jan-95,1,1995,29.859,,,,
31-Jan-95,1,1995,28.799,,,,
1-Feb-95,2,1995,28.148,,,,
2-Feb-95,2,1995,28.209,,,,
3-Feb-95,2,1995,27.62,,,,
4-Feb-95,2,1995,26.98,,,,
5-Feb-95,2,1995,26.75,,,,
6-Feb-95,2,1995,28.088,,,,
7-Feb-95,2,1995,28.139,,,,
8-Feb-95,2,1995,26.989,0.1,0.002,18,
9-Feb-95,2,1995,25.008,,,,
10-Feb-95,2,1995,29.229,,,,
11-Feb-95,2,1995,26.4,,,,
12-Feb-95,2,1995,26.5,,,,
13-Feb-95,2,1995,27.149,,,,
14-Feb-95,2,1995,27.449,,,,
15-Feb-95,2,1995,26.359,,,,
16-Feb-95,2,1995,26.869,0.1,,,
17-Feb-95,2,1995,26.169,,,,
18-Feb-95,2,1995,25.95,,,,
19-Feb-95,2,1995,24.03,,,,
20-Feb-95,2,1995,30.23,,,,
21-Feb-95,2,1995,20.398,0.1,0.017,18,10
22-Feb-95,2,1995,25.679,,,,
23-Feb-95,2,1995,24.818,,,,
24-Feb-95,2,1995,25.029,,,,
25-Feb-95,2,1995,23.2,,,,
26-Feb-95,2,1995,23.02,0.2,,,
27-Feb-95,2,1995,24.278,,,,
28-Feb-95,2,1995,19.729,,,,
1-Mar-95,3,1995,26.81,,,,
2-Mar-95,3,1995,26.83,,,,
3-Mar-95,3,1995,26.53,,,,
4-Mar-95,3,1995,28.32,,,,
5-Mar-95,3,1995,25.21,,,,
6-Mar-95,3,1995,27.23,,,,
7-Mar-95,3,1995,24.92,0.1,0.003,17,
8-Mar-95,3,1995,26.37,,,,
9-Mar-95,3,1995,39.54,,,,
10-Mar-95,3,1995,50.54,,,,
11-Mar-95,3,1995,45.17,,,,
12-Mar-95,3,1995,31.21,,,,
13-Mar-95,3,1995,33.98,,,,
14-Mar-95,3,1995,32.81001,,,,
15-Mar-95,3,1995,31.67,,,,
16-Mar-95,3,1995,30.32,0.2,,,
17-Mar-95,3,1995,29.82,,,,
18-Mar-95,3,1995,29.37,,,,
19-Mar-95,3,1995,25.33,,,,
20-Mar-95,3,1995,34.54,,,,
21-Mar-95,3,1995,33.83,,,,
22-Mar-95,3,1995,43.84,0.1,0.004,13,7.5
23-Mar-95,3,1995,40.19,,,,
24-Mar-95,3,1995,39.65,,,,
25-Mar-95,3,1995,32.67,,,,
26-Mar-95,3,1995,32.67,0.1,,,
27-Mar-95,3,1995,33.88,,,,
28-Mar-95,3,1995,32.5,,,,
29-Mar-95,3,1995,33.02,,,,
30-Mar-95,3,1995,32.18,,,,
31-Mar-95,3,1995,28.09,,,,
1-Apr-95,4,1995,29.45,,,,
2-Apr-95,4,1995,27.75,,,,
3-Apr-95,4,1995,29.7,0.2,0.007,14,
4-Apr-95,4,1995,29.35,,,,
5-Apr-95,4,1995,29.51,,,,
6-Apr-95,4,1995,27.97,,,,
7-Apr-95,4,1995,29.61,,,,
8-Apr-95,4,1995,27.65,,,,
9-Apr-95,4,1995,26.29,,,,
10-Apr-95,4,1995,27.47,,,,
11-Apr-95,4,1995,27.1,,,,
12-Apr-95,4,1995,26.61,0.16,,,
13-Apr-95,4,1995,27.2,,,,
14-Apr-95,4,1995,30.37,,,,
15-Apr-95,4,1995,22.27,,,,
16-Apr-95,4,1995,24.36,,,,
17-Apr-95,4,1995,27.2,,,,
18-Apr-95,4,1995,27.16,0.5,0.007,15,10
19-Apr-95,4,1995,26.7,,,,
20-Apr-95,4,1995,26.43,,,,
21-Apr-95,4,1995,26.2,,,,
22-Apr-95,4,1995,25.5,,,,
23-Apr-95,4,1995,24.7094,0.24,,,
24-Apr-95,4,1995,25.8506,,,,
25-Apr-95,4,1995,25.96,,,,
26-Apr-95,4,1995,25.78,,,,
27-Apr-95,4,1995,25.73,,,,
28-Apr-95,4,1995,25.42,,,,
29-Apr-95,4,1995,24.88,,,,
30-Apr-95,4,1995,23.68,,,,
1-May-95,5,1995,23.56,0.24,0.004,16,
2-May-95,5,1995,28.07,,,,
3-May-95,5,1995,25.57,,,,
4-May-95,5,1995,24.83,,,,
5-May-95,5,1995,26.15,,,,
6-May-95,5,1995,23.85,,,,
7-May-95,5,1995,24.32,,,,
8-May-95,5,1995,26.01,,,,
9-May-95,5,1995,25.87,0.24,,,
10-May-95,5,1995,26.25,,,,
11-May-95,5,1995,26.97,,,,
12-May-95,5,1995,26.34,,,,
13-May-95,5,1995,26.01,,,,
14-May-95,5,1995,25.26,,,,
15-May-95,5,1995,26.84,0.2,0.01,16,
16-May-95,5,1995,25.87,,,,
17-May-95,5,1995,26.24,,,,
18-May-95,5,1995,27.25,,,,
19-May-95,5,1995,24.59,,,,
20-May-95,5,1995,24.61,,,,
21-May-95,5,1995,25.92,,,,
22-May-95,5,1995,26.33,,,,
23-May-95,5,1995,26.29,,,,
24-May-95,5,1995,28.12,0.24,,18,11
25-May-95,5,1995,26.95,,,,
26-May-95,5,1995,26.74,,,,
27-May-95,5,1995,24.05,,,,
28-May-95,5,1995,23.46,,,,
29-May-95,5,1995,25.97,,,,
30-May-95,5,1995,26.81,,,,
31-May-95,5,1995,27.38,,,,
1-Jun-95,6,1995,25.515,0.3,0.016,17,
2-Jun-95,6,1995,27.22,,,,
3-Jun-95,6,1995,27.41,,,,
4-Jun-95,6,1995,27.93,,,,
5-Jun-95,6,1995,26.395,0.49,,,
6-Jun-95,6,1995,26.235,,,,
7-Jun-95,6,1995,26.925,,,,
8-Jun-95,6,1995,28.78,,,,
9-Jun-95,6,1995,23.295,,,,
10-Jun-95,6,1995,23.16,,,,
11-Jun-95,6,1995,22.31,,,,
12-Jun-95,6,1995,24.725,,,,
13-Jun-95,6,1995,25.07,0.49,0.01,22,11
14-Jun-95,6,1995,25.35,,,,
15-Jun-95,6,1995,24.725,,,,
16-Jun-95,6,1995,24.91,,,,
17-Jun-95,6,1995,26.87,,,,
18-Jun-95,6,1995,22.586,,,,
19-Jun-95,6,1995,24.16,,,,
20-Jun-95,6,1995,23.925,,,,
21-Jun-95,6,1995,23.165,0.1,,,
22-Jun-95,6,1995,23.16,,,,
23-Jun-95,6,1995,22.79,,,,
24-Jun-95,6,1995,23.05,,,,
25-Jun-95,6,1995,21.36,0.1,0.007,15,
26-Jun-95,6,1995,23.46,,,,
27-Jun-95,6,1995,23.72,,,,
28-Jun-95,6,1995,23.5,,,,
29-Jun-95,6,1995,22.91,,,,
30-Jun-95,6,1995,23.635,,,,
1-Jul-95,7,1995,20.09,,,,
2-Jul-95,7,1995,20.27,,,,
3-Jul-95,7,1995,20.85,,,,
4-Jul-95,7,1995,21.01,,,,
5-Jul-95,7,1995,22.23,,,,
6-Jul-95,7,1995,23.38,0.1,,,
7-Jul-95,7,1995,23.03,,,,
8-Jul-95,7,1995,20.95,,,,
9-Jul-95,7,1995,21.36,,,,
10-Jul-95,7,1995,24.03,0.23,0.004,15,11
11-Jul-95,7,1995,23.16,,,,
12-Jul-95,7,1995,23.08,,,,
13-Jul-95,7,1995,23.26,,,,
14-Jul-95,7,1995,22.92,,,,
15-Jul-95,7,1995,21.35,,,,
16-Jul-95,7,1995,21.6,,,,
17-Jul-95,7,1995,23.38,,,,
18-Jul-95,7,1995,23.3,0.1,,,
19-Jul-95,7,1995,23.69,,,,
20-Jul-95,7,1995,23.38,,,,
21-Jul-95,7,1995,24.26,,,,
22-Jul-95,7,1995,22.64,,,,
23-Jul-95,7,1995,22.48,0.1,0.009,16,
24-Jul-95,7,1995,23.6,,,,
25-Jul-95,7,1995,21.78,,,,
26-Jul-95,7,1995,23.16,,,,
27-Jul-95,7,1995,23.92,,,,
28-Jul-95,7,1995,24.14,,,,
29-Jul-95,7,1995,20.91,,,,
30-Jul-95,7,1995,20.71,,,,
31-Jul-95,7,1995,18.48,,,,
1-Aug-95,8,1995,28.885,,,,
2-Aug-95,8,1995,24.075,0.1,,,
3-Aug-95,8,1995,24.48,,,,
4-Aug-95,8,1995,24.52,,,,
5-Aug-95,8,1995,22.96,,,,
6-Aug-95,8,1995,23.04,,,,
7-Aug-95,8,1995,24.175,,,,
8-Aug-95,8,1995,23.555,0.1,0.01,17,11
9-Aug-95,8,1995,23.71,,,,
10-Aug-95,8,1995,22.37,,,,
11-Aug-95,8,1995,23.635,,,,
12-Aug-95,8,1995,23.26,,,,
13-Aug-95,8,1995,21.16,0.1,,,
14-Aug-95,8,1995,24.115,,,,
15-Aug-95,8,1995,24.415,,,,
16-Aug-95,8,1995,23.48,,,,
17-Aug-95,8,1995,23.16,,,,
18-Aug-95,8,1995,22.185,,,,
19-Aug-95,8,1995,21.75,,,,
20-Aug-95,8,1995,21.94,,,,
21-Aug-95,8,1995,26.815,,,,
22-Aug-95,8,1995,18.73,,,,
23-Aug-95,8,1995,23.78,,,,
24-Aug-95,8,1995,23.33,0.1,0.011,18,
25-Aug-95,8,1995,23.285,,,,
26-Aug-95,8,1995,22.48,,,,
27-Aug-95,8,1995,20.39,,,,
28-Aug-95,8,1995,22.935,0.1,,,
29-Aug-95,8,1995,22.93,,,,
30-Aug-95,8,1995,23.625,,,,
31-Aug-95,8,1995,22.55,,,,
1-Sep-95,9,1995,22.98,,,,
2-Sep-95,9,1995,21.42,,,,
3-Sep-95,9,1995,20.31,,,,
4-Sep-95,9,1995,21.88,,,,
5-Sep-95,9,1995,23.88,,,,
6-Sep-95,9,1995,22.35,0.1,0.012,16,11
7-Sep-95,9,1995,24.16,,,,
8-Sep-95,9,1995,22.21,,,,
9-Sep-95,9,1995,22.43,,,,
10-Sep-95,9,1995,22.65,,,,
11-Sep-95,9,1995,24.54,0.1,,,
12-Sep-95,9,1995,24.16,,,,
13-Sep-95,9,1995,23.84,,,,
14-Sep-95,9,1995,23.94,,,,
15-Sep-95,9,1995,23.52,,,,
16-Sep-95,9,1995,21.64,,,,
17-Sep-95,9,1995,22.72,,,,
18-Sep-95,9,1995,23.38,,,,
19-Sep-95,9,1995,24.09,,,,
20-Sep-95,9,1995,24.92,0.1,0.004,16,
21-Sep-95,9,1995,21.72,,,,
22-Sep-95,9,1995,22.84,,,,
23-Sep-95,9,1995,26.99,,,,
24-Sep-95,9,1995,19.63,,,,
25-Sep-95,9,1995,24.9,,,,
26-Sep-95,9,1995,23.81,0.1,,,
27-Sep-95,9,1995,23.77,,,,
28-Sep-95,9,1995,23.39,,,,
29-Sep-95,9,1995,23.47,,,,
30-Sep-95,9,1995,22.89,,,,
1-Oct-95,10,1995,24.01,,,,
2-Oct-95,10,1995,29.46,,,,
3-Oct-95,10,1995,19.98,,,,
4-Oct-95,10,1995,24.6,0.1,0.006,16,11
5-Oct-95,10,1995,24.76,,,,
6-Oct-95,10,1995,23.94,,,,
7-Oct-95,10,1995,24.499,,,,
