Date,Month,Year,Flow,NH3,NO3,TSS,minpH,maxpH,minTemp,maxTemp
6/5/2007,6,2007,2.39,0.11,14,8.7,6.8,6.9,85.3,87.3
7/5/2007,7,2007,3.03,0.1,,2.8,6.9,7,92.7,94.9
7/10/2007,7,2007,3.3,0.1,7.7,1.8,6.8,6.9,87.3,88.8
8/1/2007,8,2007,2.73,0.34,8.3,5.1,7,8.1,91.2,92.9
9/5/2007,9,2007,3.35,0.28,8.5,3.5,6.7,7,93.5,95.1
10/3/2007,10,2007,3.2,0.46,13,4.9,6.9,7,89.4,90.8
11/1/2007,11,2007,3.13,0.15,10,,6.8,7,85.4,87
12/5/2007,12,2007,2.9,0.81,8.5,11.5,6.7,6.8,78.3,79.7
12/14/2007,12,2007,2.6,0.1,,,6.9,7.1,74.4,75.7
1/8/2008,1,2008,5.64,5.25,,31.5,6.3,6.9,66.8,68.8
1/9/2008,1,2008,5.97,2.4,,11.7,6.5,6.7,68.8,70.9
1/18/2008,1,2008,2.91,0.43,,,6.6,6.8,73.7,74.9
1/19/2008,1,2008,2.53,0.39,,,6.7,6.8,74,75.1
1/31/2008,1,2008,3.83,0.68,,,6.3,6.6,65.5,66.4
2/4/2008,2,2008,3.88,0.1,,2.2,6.5,6.9,67.6,69
3/4/2008,3,2008,1.95,0.04,,18.5,6.6,6.8,77,77
4/2/2008,4,2008,4.14,0.1,,1.82,6.5,6.8,87.6,89.6
4/4/2008,4,2008,2.42,0.57,,,6.6,7.1,86.2,87.5
5/5/2008,5,2008,2.49,0.1,12.2,5.44,6.3,7.2,83.1,85
5/21/2008,5,2008,2.58,0.11,,,6.9,6.9,85,87.2
5/26/2008,5,2008,3.15,0.22,,,6.8,6.8,86.3,87.4
6/3/2008,6,2008,2.9,0.1,12.3,2.9,6.8,6.9,87,88.5
7/9/2008,7,2008,2.77,0.1,,1.24,6.6,6.8,90.7,93.9
8/4/2008,8,2008,2.52,0.1,,3.02,6,7.7,89.8,91.5
9/3/2008,9,2008,2.42,0.1,,1.1,6.8,7.9,94,96
10/1/2008,10,2008,2.62,0.1,,1.16,6.8,7,88,88
11/4/2008,11,2008,4.12,0.1,,8.04,6.5,6.9,74.4,76.8
12/3/2008,12,2008,2.31,0.1,,3.7,6.6,6.7,81,81.6
1/6/2009,1,2009,2.03,0.1,,5.72,6.8,6.9,75.3,76.7
2/2/2009,2,2009,2.49,0.13,,3.38,6.7,7.2,77.2,78.5
3/3/2009,3,2009,6.89,,,,,,,
4/1/2009,4,2009,2.86,,,,,,,
5/6/2009,5,2009,3.04,,,,,,,
6/2/2009,6,2009,2.4,,,,,,,
7/9/2009,7,2009,2.69,,,,,,,
8/4/2009,8,2009,2.73,,,,,,,
9/1/2009,9,2009,3,,,,,,,
10/6/2009,10,2009,3.06,,,,,,,
10/13/2009,10,2009,5.65,,,,,,,
10/14/2009,10,2009,5.88,,,,,,,
10/15/2009,10,2009,5.55,,,,,,,
10/30/2009,10,2009,2.68,,,,,,,
11/1/2009,11,2009,3.13,,,,,,,
11/3/2009,11,2009,3.21,,,,,,,
11/17/2009,11,2009,1.72,,,,,,,
11/18/2009,11,2009,2.62,,,,,,,
11/23/2009,11,2009,1.94,,,,,,,
11/28/2009,11,2009,3.65,,,,,,,
12/2/2009,12,2009,3.8,,,,,,,
12/3/2009,12,2009,3.76,,,,,,,
12/18/2009,12,2009,2.7,,,,,,,
12/20/2009,12,2009,4.23,,,,,,,
12/21/2009,12,2009,3.92,,,,,,,
12/23/2009,12,2009,2.27,,,,,,,
12/27/2009,12,2009,3.51,,,,,,,
1/5/2010,1,2010,2.81,,,,,,,
2/3/2010,2,2010,3.09,,,,,,,
3/2/2010,3,2010,4.16,,,,,,,
4/6/2010,4,2010,2.84,,,,,,,
4/13/2010,4,2010,3.82,,,,,,,
5/3/2010,5,2010,2.09,,,,,,,
6/2/2010,6,2010,2.79,,,,,,,
7/7/2010,7,2010,2.7,,,,,,,
8/3/2010,8,2010,2.68,,,,,,,
8/8/2010,8,2010,3.06,,,,,,,
8/19/2010,8,2010,2.8,,,,,,,
9/1/2010,9,2010,3.39,,,,,,,
10/4/2010,10,2010,1.64,,,,,,,
11/8/2010,11,2010,3.19,,,,,,,
12/1/2010,12,2010,2.7,,,,,,,
12/21/2010,12,2010,3.55,,,,,,,
12/24/2010,12,2010,4.15,,,,,,,
1/4/2011,1,2011,2.92,,,,,,,
2/2/2011,2,2011,2.79,,,,,,,
3/1/2011,3,2011,3.44,,,,,,,
4/6/2011,4,2011,4.34,,,,,,,
5/3/2011,5,2011,2.89,,,,,,,
6/1/2011,6,2011,4.63,,,,,,,
7/12/2011,7,2011,2.21,,,,,,,
8/2/2011,8,2011,2.14,,,,,,,
9/7/2011,9,2011,2.77,,,,,,,
10/4/2011,10,2011,2.42,,,,,,,
11/2/2011,11,2011,2.29,,,,,,,
12/6/2011,12,2011,2.73,,,,,,,
