,NO2 mg/L N,Time
202,0.06,2014-05-19
203,0.05,2014-05-26
204,0.06,2014-06-02
205,0.05,2014-06-09
206,0.08,2014-06-16
207,0.08,2014-06-23
208,0.07,2014-06-30
209,,2014-07-08
210,0.06,2014-07-14
211,0.09,2014-07-21
212,0.08,2014-07-28
213,0.11,2014-08-04
214,0.06,2014-08-11
215,0.04,2014-08-18
216,0.08,2014-08-25
217,0.03,2014-09-01
218,0.06,2014-09-08
219,0.07,2014-09-15
220,0.14,2014-09-22
221,0.07,2014-09-29
222,0.06,2014-10-06
223,0.02,2014-10-13
224,0.03,2014-10-20
225,0.09,2014-10-27
226,0.07,2014-11-03
227,0.11,2014-11-10
228,0.13,2014-11-17
229,0.16,2014-11-24
230,0.38,2014-12-01
231,0.13,2014-12-08
232,0.14,2014-12-15
233,0.19,2014-12-22
234,0.25,2014-12-29
235,0.25,2015-01-05
236,0.27,2015-01-12
237,0.21,2015-01-19
238,0.24,2015-01-26
239,0.21,2015-02-02
240,0.21,2015-02-09
241,0.21,2015-02-16
242,0.22,2015-02-23
243,0.22,2015-03-02
244,0.18,2015-03-09
245,0.32,2015-03-16
246,0.13,2015-03-23
247,0.09,2015-03-30
248,0.35,2015-04-06
249,0.2,2015-04-13
250,0.2,2015-04-20
251,0.21,2015-04-27
252,0.08,2015-05-04
253,0.08,2015-05-11
254,0.43,2015-05-18
255,0.12,2015-05-25
256,0.06,2015-06-01
257,0.09,2015-06-08
258,0.11,2015-06-15
259,0.04,2015-06-22
260,0.07,2015-06-29
261,0.04,2015-07-06
262,0.04,2015-07-13
263,0.04,2015-07-20
264,0.06,2015-07-27
265,0.05,2015-08-03
266,0.05,2015-08-10
267,0.12,2015-08-17
268,0.21,2015-08-24
269,0.09,2015-08-31
270,0.15,2015-09-07
271,0.14,2015-09-14
272,0.06,2015-09-21
273,0.07,2015-09-28
274,0.22,2015-10-05
275,0.06,2015-10-12
276,0.08,2015-10-19
277,0.23,2015-10-26
278,0.53,2015-11-02
279,0.46,2015-11-09
280,0.4,2015-11-16
281,0.37,2015-11-23
282,0.3,2015-11-30
283,0.28,2015-12-07
284,0.29,2015-12-14
285,0.26,2015-12-21
286,0.22,2015-12-28
287,0.14,2016-01-04
288,0.11,2016-01-11
289,0.06,2016-01-19
290,0.11,2016-01-25
291,0.09,2016-02-01
292,0.09,2016-02-08
293,0.09,2016-02-15
294,0.13,2016-02-22
295,0.1,2016-02-29
296,0.13,2016-03-07
297,0.3,2016-03-14
298,0.4,2016-03-21
299,0.19,2016-03-28
300,0.05,2016-04-07
301,0.33,2016-04-11
302,0.25,2016-04-18
303,0.33,2016-04-25
304,0.11,2016-05-04
305,0.17,2016-05-09
306,0.2,2016-05-16
307,0.16,2016-05-23
308,0.2,2016-06-13
309,0.36,2016-06-20
310,0.12,2016-07-04
311,0.4,2016-07-11
312,0.18,2016-07-24
313,0.15,2016-08-05
314,0.18,2016-08-08
315,0.09,2016-08-19
316,0.28,2016-08-22
317,0.08,2016-08-29
318,0.21,2016-09-05
319,0.09,2016-09-12
320,0.14,2016-09-19
321,0.12,2016-09-26
322,0.07,2016-10-03
323,0.1,2016-10-09
324,0.15,2016-10-17
325,0.09,2016-10-24
326,0.27,2016-10-31
327,0.28,2016-12-05
328,0.28,2016-12-11
329,0.24,2016-12-20
330,0.21,2016-12-26
331,0.24,2017-01-02
332,0.28,2017-01-08
333,0.1455,2017-01-11
334,0.28,2017-01-16
335,0.32,2017-01-23
336,0.32,2017-01-30
337,0.29,2017-02-06
338,0.14750000000000002,2017-02-08
339,0.3,2017-02-13
340,0.29,2017-02-20
341,0.29,2017-02-27
342,0.27,2017-03-06
343,0.11050000000000001,2017-03-09
344,0.23,2017-03-13
345,0.19,2017-03-20
