,Date,NH3 mg/L N_x,flow mgd_x,NO3 mg/L N_x,NO2 mg/L N,N+N mg/L N,P mg/L P,PO4 mg/L P,flow mgd_y,NH3 mg/L N_y,NO3 mg/L N_y,TP mg/L P,NH3 mg/L N,NO3 mg/L N,flow mgd
2460,2006-01-27,,,,,,,,10.84,15.5,,,15.5,,
2461,2006-01-28,,,,,,,,12.31,13.3,,,13.3,,
2462,2006-01-29,,,,,,,,13.64,14.0,,,14.0,,
2463,2006-01-30,,,,,,,,12.67,18.2,,,18.2,,
2464,2006-01-31,,,,,,,,12.64,18.1,,,18.1,,
2465,2006-02-01,,,,,,,,12.63,15.9,,,15.9,,
2466,2006-02-02,,,,,,,,11.96,14.0,,,14.0,,
2467,2006-02-03,,,,,,,,12.74,15.2,,,15.2,,
2468,2006-02-04,,,,,,,,11.85,14.6,,,14.6,,
2469,2006-02-05,,,,,,,,11.05,13.6,,,13.6,,
2470,2006-02-06,,,,,,,,10.38,14.7,,,14.7,,
2471,2006-02-07,,,,,,,,11.64,14.3,,,14.3,,
2472,2006-02-08,,,,,,,,11.58,14.7,,,14.7,,
2473,2006-02-09,,,,,,,,10.82,17.3,,,17.3,,
2474,2006-02-10,,,,,,,,10.61,15.9,,,15.9,,
2475,2006-02-11,,,,,,,,11.66,16.9,,,16.9,,
2476,2006-02-12,,,,,,,,11.78,17.6,,,17.6,,
2477,2006-02-13,,,,,,,,11.79,17.0,,,17.0,,
2478,2006-02-14,,,,,,,,11.16,17.5,,,17.5,,
2479,2006-02-15,,,,,,,,11.74,16.8,,,16.8,,
2480,2006-02-16,,,,,,,,11.88,16.7,,,16.7,,
2481,2006-02-17,,,,,,,,11.19,16.9,,,16.9,,
2482,2006-02-18,,,,,,,,10.34,16.3,,,16.3,,
2483,2006-02-19,,,,,,,,11.47,16.7,,,16.7,,
2484,2006-02-20,,,,,,,,11.94,17.6,,,17.6,,
2485,2006-02-21,,,,,,,,11.35,16.6,,,16.6,,
2486,2006-02-22,,,,,,,,11.77,17.3,,,17.3,,
2487,2006-02-23,,,,,,,,11.63,18.1,,,18.1,,
2488,2006-02-24,,,,,,,,11.82,17.9,,,17.9,,
2489,2006-02-25,,,,,,,,11.74,19.8,,,19.8,,
2490,2006-02-26,,,,,,,,11.75,17.7,,,17.7,,
2491,2006-02-27,,,,,,,,11.83,18.4,,,18.4,,
2492,2006-02-28,,,,,,,,11.64,15.0,,,15.0,,
2493,2006-03-01,,,,,,,,11.11,15.8,,,15.8,,
2494,2006-03-02,,,,,,,,12.41,17.4,,,17.4,,
2495,2006-03-03,,,,,,,,11.22,18.4,,,18.4,,
2496,2006-03-04,,,,,,,,11.51,18.3,,,18.3,,
2497,2006-03-05,,,,,,,,11.72,18.3,,,18.3,,
2498,2006-03-06,,,,,,,,12.12,17.0,,,17.0,,
2499,2006-03-07,,,,,,,,12.05,17.3,,,17.3,,
2500,2006-03-08,,,,,,,,11.28,18.4,,,18.4,,
2501,2006-03-09,,,,,,,,11.77,18.0,,,18.0,,
2502,2006-03-10,,,,,,,,11.89,18.4,,,18.4,,
2503,2006-03-11,,,,,,,,11.59,18.8,,,18.8,,
2504,2006-03-12,,,,,,,,10.38,16.4,,,16.4,,
2505,2006-03-13,,,,,,,,10.6,17.4,,,17.4,,
2506,2006-03-14,,,,,,,,11.43,19.3,,,19.3,,
2507,2006-03-15,,,,,,,,9.79,17.6,,,17.6,,
2508,2006-03-16,,,,,,,,9.72,17.2,,,17.2,,
2509,2006-03-17,,,,,,,,9.8,18.5,,,18.5,,
2510,2006-03-18,,,,,,,,9.76,18.4,,,18.4,,
2511,2006-03-19,,,,,,,,10.09,17.2,,,17.2,,
2512,2006-03-20,,,,,,,,10.12,16.5,,,16.5,,
2513,2006-03-21,,,,,,,,10.56,16.6,,,16.6,,
2514,2006-03-22,,,,,,,,11.86,16.2,,,16.2,,
2515,2006-03-23,,,,,,,,11.85,15.5,,,15.5,,
2516,2006-03-24,,,,,,,,11.35,15.3,,,15.3,,
2517,2006-03-25,,,,,,,,10.2,16.1,,,16.1,,
2518,2006-03-26,,,,,,,,9.97,15.5,,,15.5,,
2519,2006-03-27,,,,,,,,11.76,15.0,,,15.0,,
2520,2006-03-28,,,,,,,,11.9,13.7,,,13.7,,
2521,2006-03-29,,,,,,,,12.02,15.2,,,15.2,,
2522,2006-03-30,,,,,,,,9.57,11.3,,,11.3,,
2523,2006-03-31,,,,,,,,9.94,17.6,,,17.6,,
2524,2006-04-01,,,,,,,,10.26,18.2,,,18.2,,
2525,2006-04-02,,,,,,,,9.62,17.2,,,17.2,,
2526,2006-04-03,,,,,,,,10.18,13.8,,,13.8,,
2527,2006-04-04,,,,,,,,11.35,17.6,,,17.6,,
2528,2006-04-05,,,,,,,,11.45,15.3,,,15.3,,
2529,2006-04-06,,,,,,,,10.25,17.7,,,17.7,,
2530,2006-04-07,,,,,,,,10.24,17.8,,,17.8,,
2531,2006-04-08,,,,,,,,10.92,16.9,,,16.9,,
2532,2006-04-09,,,,,,,,10.73,16.8,,,16.8,,
2533,2006-04-10,,,,,,,,10.71,15.4,,,15.4,,
2534,2006-04-11,,,,,,,,10.48,15.0,,,15.0,,
2535,2006-04-12,,,,,,,,10.78,15.4,,,15.4,,
2536,2006-04-13,,,,,,,,10.68,16.3,,,16.3,,
2537,2006-04-14,,,,,,,,12.31,15.8,,,15.8,,
2538,2006-04-15,,,,,,,,13.59,14.9,,,14.9,,
2539,2006-04-16,,,,,,,,12.18,14.5,,,14.5,,
2540,2006-04-17,,,,,,,,11.78,16.1,,,16.1,,
2541,2006-04-18,,,,,,,,11.21,14.9,,,14.9,,
2542,2006-04-19,,,,,,,,10.99,17.1,,,17.1,,
2543,2006-04-20,,,,,,,,10.94,15.9,,,15.9,,
2544,2006-04-21,,,,,,,,10.42,14.3,,,14.3,,
2545,2006-04-22,,,,,,,,10.75,14.7,,,14.7,,
2546,2006-04-23,,,,,,,,10.68,14.7,,,14.7,,
2547,2006-04-24,,,,,,,,11.3,21.3,,,21.3,,
2548,2006-04-25,,,,,,,,10.7,15.2,,,15.2,,
2549,2006-04-26,,,,,,,,11.21,16.9,,,16.9,,
2550,2006-04-27,,,,,,,,11.84,17.2,,,17.2,,
2551,2006-04-28,,,,,,,,11.75,16.1,,,16.1,,
2552,2006-04-29,,,,,,,,11.07,16.7,,,16.7,,
2553,2006-04-30,,,,,,,,10.75,15.2,,,15.2,,
2554,2006-05-01,,,,,,,,9.63,14.8,,,14.8,,
2555,2006-05-02,,,,,,,,9.83,17.0,,,17.0,,
2556,2006-05-03,,,,,,,,9.84,16.6,,,16.6,,
2557,2006-05-04,,,,,,,,8.91,18.4,,,18.4,,
2558,2006-05-05,,,,,,,,9.75,17.6,,,17.6,,
2559,2006-05-06,,,,,,,,10.04,16.2,,,16.2,,
2560,2006-05-07,,,,,,,,9.9,21.8,,,21.8,,
2561,2006-05-08,,,,,,,,9.68,15.8,,,15.8,,
2562,2006-05-09,,,,,,,,9.6,16.0,,,16.0,,
2563,2006-05-10,,,,,,,,9.19,17.6,,,17.6,,
2564,2006-05-11,,,,,,,,8.93,21.2,,,21.2,,
2565,2006-05-12,,,,,,,,9.25,21.4,,,21.4,,
2566,2006-05-13,,,,,,,,10.2,19.4,,,19.4,,
2567,2006-05-14,,,,,,,,9.62,18.2,,,18.2,,
2568,2006-05-15,,,,,,,,9.47,16.9,,,16.9,,
2569,2006-05-16,,,,,,,,8.94,18.5,,,18.5,,
2570,2006-05-17,,,,,,,,5.42,0.0,,,0.0,,
2571,2006-05-18,,,,,,,,9.36,20.0,,,20.0,,
2572,2006-05-19,,,,,,,,9.72,20.6,,,20.6,,
2573,2006-05-20,,,,,,,,9.51,21.6,,,21.6,,
2574,2006-05-21,,,,,,,,8.98,20.7,,,20.7,,
2575,2006-05-22,,,,,,,,6.09,0.0,,,0.0,,
2576,2006-05-23,,,,,,,,10.61,20.1,,,20.1,,
2577,2006-05-24,,,,,,,,8.87,19.0,,,19.0,,
2578,2006-05-25,,,,,,,,9.17,19.7,,,19.7,,
2579,2006-05-26,,,,,,,,9.6,21.8,,,21.8,,
2580,2006-05-27,,,,,,,,9.08,18.9,,,18.9,,
2581,2006-05-28,,,,,,,,8.25,20.7,,,20.7,,
2582,2006-05-29,,,,,,,,8.4,20.6,,,20.6,,
2583,2006-05-30,,,,,,,,8.58,19.7,,,19.7,,
2584,2006-05-31,,,,,,,,6.24,0.0,,,0.0,,
2585,2006-06-01,,,,,,,,8.89,20.5,,,20.5,,
2586,2006-06-02,,,,,,,,8.6,20.9,,,20.9,,
2587,2006-06-03,,,,,,,,8.97,19.8,,,19.8,,
2588,2006-06-04,,,,,,,,9.14,21.0,,,21.0,,
2589,2006-06-05,,,,,,,,8.05,20.9,,,20.9,,
2590,2006-06-06,,,,,,,,8.48,20.8,,,20.8,,
2591,2006-06-07,,,,,,,,9.68,21.0,,,21.0,,
2592,2006-06-08,,,,,,,,7.94,20.8,,,20.8,,
2593,2006-06-09,,,,,,,,8.15,20.5,,,20.5,,
2594,2006-06-10,,,,,,,,8.33,20.2,,,20.2,,
2595,2006-06-11,,,,,,,,7.95,20.8,,,20.8,,
2596,2006-06-12,,,,,,,,8.38,20.9,,,20.9,,
2597,2006-06-13,,,,,,,,9.01,18.7,,,18.7,,
2598,2006-06-14,,,,,,,,8.83,19.2,,,19.2,,
2599,2006-06-15,,,,,,,,8.87,16.1,,,16.1,,
2600,2006-06-16,,,,,,,,9.1,18.0,,,18.0,,
2601,2006-06-17,,,,,,,,8.78,17.7,,,17.7,,
2602,2006-06-18,,,,,,,,9.16,17.9,,,17.9,,
2603,2006-06-19,,,,,,,,8.93,19.8,,,19.8,,
2604,2006-06-20,,,,,,,,8.57,18.2,,,18.2,,
2605,2006-06-21,,,,,,,,9.26,17.2,,,17.2,,
2606,2006-06-22,,,,,,,,8.82,17.5,,,17.5,,
2607,2006-06-23,,,,,,,,8.77,17.6,,,17.6,,
2608,2006-06-24,,,,,,,,9.07,16.4,,,16.4,,
2609,2006-06-25,,,,,,,,9.04,15.9,,,15.9,,
2610,2006-06-26,,,,,,,,8.5,17.9,,,17.9,,
2611,2006-06-27,,,,,,,,9.14,15.5,,,15.5,,
2612,2006-06-28,,,,,,,,8.99,16.3,,,16.3,,
2613,2006-06-29,,,,,,,,8.76,16.9,,,16.9,,
2614,2006-06-30,,,,,,,,8.99,15.7,,,15.7,,
2615,2006-07-01,,,,,,,,9.03,16.0,,,16.0,,
2616,2006-07-02,,,,,,,,8.77,15.2,,,15.2,,
2617,2006-07-03,,,,,,,,8.77,15.1,,,15.1,,
2618,2006-07-04,,,,,,,,8.93,16.3,,,16.3,,
2619,2006-07-05,,,,,,,,8.98,14.9,,,14.9,,
2620,2006-07-06,,,,,,,,8.97,15.3,,,15.3,,
2621,2006-07-07,,,,,,,,8.79,15.9,,,15.9,,
2622,2006-07-08,,,,,,,,9.38,13.7,,,13.7,,
2623,2006-07-09,,,,,,,,8.54,14.5,,,14.5,,
2624,2006-07-10,,,,,,,,8.9,15.9,,,15.9,,
2625,2006-07-11,,,,,,,,9.08,15.3,,,15.3,,
2626,2006-07-12,,,,,,,,9.33,14.6,,,14.6,,
2627,2006-07-13,,,,,,,,9.03,13.8,,,13.8,,
2628,2006-07-14,,,,,,,,9.37,13.8,,,13.8,,
2629,2006-07-15,,,,,,,,9.49,13.1,,,13.1,,
2630,2006-07-16,,,,,,,,9.38,13.0,,,13.0,,
2631,2006-07-17,,,,,,,,9.01,13.7,,,13.7,,
2632,2006-07-18,,,,,,,,8.89,13.9,,,13.9,,
2633,2006-07-19,,,,,,,,8.58,14.2,,,14.2,,
2634,2006-07-20,,,,,,,,9.95,15.0,,,15.0,,
2635,2006-07-21,,,,,,,,9.12,14.2,,,14.2,,
2636,2006-07-22,,,,,,,,8.94,14.0,,,14.0,,
2637,2006-07-23,,,,,,,,9.27,16.3,,,16.3,,
2638,2006-07-24,,,,,,,,9.2,14.9,,,14.9,,
2639,2006-07-25,,,,,,,,8.75,15.3,,,15.3,,
2640,2006-07-26,,,,,,,,8.48,16.5,,,16.5,,
2641,2006-07-27,,,,,,,,7.46,17.7,,,17.7,,
2642,2006-07-28,,,,,,,,8.7,17.5,,,17.5,,
2643,2006-07-29,,,,,,,,8.6,17.5,,,17.5,,
2644,2006-07-30,,,,,,,,8.8,16.7,,,16.7,,
2645,2006-07-31,,,,,,,,8.25,17.1,,,17.1,,
2646,2006-08-01,,,,,,,,10.21,16.2,,,16.2,,
2647,2006-08-02,,,,,,,,9.51,15.6,,,15.6,,
2648,2006-08-03,,,,,,,,9.29,15.1,,,15.1,,
2649,2006-08-04,,,,,,,,9.31,15.4,,,15.4,,
2650,2006-08-05,,,,,,,,9.64,15.9,,,15.9,,
2651,2006-08-06,,,,,,,,9.4,14.5,,,14.5,,
2652,2006-08-07,,,,,,,,9.35,15.3,,,15.3,,
2653,2006-08-08,,,,,,,,9.06,15.6,,,15.6,,
2654,2006-08-09,,,,,,,,8.64,18.0,,,18.0,,
2655,2006-08-10,,,,,,,,8.69,17.6,,,17.6,,
2656,2006-08-11,,,,,,,,8.84,17.1,,,17.1,,
2657,2006-08-12,,,,,,,,9.23,17.1,,,17.1,,
2658,2006-08-13,,,,,,,,9.32,16.7,,,16.7,,
2659,2006-08-14,,,,,,,,7.68,17.5,,,17.5,,
2660,2006-08-15,,,,,,,,7.41,16.5,,,16.5,,
2661,2006-08-16,,,,,,,,8.02,15.0,,,15.0,,
2662,2006-08-17,,,,,,,,8.79,13.4,,,13.4,,
2663,2006-08-18,,,,,,,,8.75,12.0,,,12.0,,
2664,2006-08-19,,,,,,,,8.76,13.1,,,13.1,,
2665,2006-08-20,,,,,,,,8.53,13.2,,,13.2,,
2666,2006-08-21,,,,,,,,8.18,13.5,,,13.5,,
2667,2006-08-22,,,,,,,,8.33,14.0,,,14.0,,
2668,2006-08-23,,,,,,,,,16.0,,,16.0,,
2669,2006-08-24,,,,,,,,8.73,16.0,,,16.0,,
2670,2006-08-25,,,,,,,,10.07,15.4,,,15.4,,
2671,2006-08-26,,,,,,,,10.17,13.6,,,13.6,,
2672,2006-08-27,,,,,,,,9.28,13.9,,,13.9,,
2673,2006-08-28,,,,,,,,8.2,13.6,,,13.6,,
2674,2006-08-29,,,,,,,,8.5,14.8,,,14.8,,
2675,2006-08-30,,,,,,,,7.73,12.9,,,12.9,,
2676,2006-08-31,,,,,,,,8.53,14.2,,,14.2,,
2677,2006-09-01,,,,,,,,,14.1,,,14.1,,
2678,2006-09-02,,,,,,,,8.82,15.1,,,15.1,,
2679,2006-09-03,,,,,,,,8.47,15.1,,,15.1,,
2680,2006-09-04,,,,,,,,8.77,16.7,,,16.7,,
2681,2006-09-05,,,,,,,,8.08,15.8,,,15.8,,
2682,2006-09-06,,,,,,,,8.19,16.0,,,16.0,,
2683,2006-09-07,,,,,,,,8.67,17.2,,,17.2,,
2684,2006-09-08,,,,,,,,8.37,16.7,,,16.7,,
2685,2006-09-09,,,,,,,,8.81,15.8,,,15.8,,
2686,2006-09-10,,,,,,,,8.79,14.9,,,14.9,,
2687,2006-09-11,,,,,,,,7.61,16.3,,,16.3,,
2688,2006-09-12,,,,,,,,8.14,16.1,,,16.1,,
2689,2006-09-13,,,,,,,,7.89,16.7,,,16.7,,
2690,2006-09-14,,,,,,,,8.15,17.8,,,17.8,,
2691,2006-09-15,,,,,,,,8.89,15.0,,,15.0,,
2692,2006-09-16,,,,,,,,10.08,14.2,,,14.2,,
2693,2006-09-17,,,,,,,,9.62,12.9,,,12.9,,
2694,2006-09-18,,,,,,,,9.09,13.4,,,13.4,,
2695,2006-09-19,,,,,,,,8.98,13.5,,,13.5,,
2696,2006-09-20,,,,,,,,9.23,14.5,,,14.5,,
2697,2006-09-21,,,,,,,,9.33,13.8,,,13.8,,
2698,2006-09-22,,,,,,,,9.13,14.7,,,14.7,,
2699,2006-09-23,,,,,,,,10.04,13.2,,,13.2,,
2700,2006-09-24,,,,,,,,9.31,12.4,,,12.4,,
2701,2006-09-25,,,,,,,,9.16,13.5,,,13.5,,
2702,2006-09-26,,,,,,,,9.23,13.6,,,13.6,,
2703,2006-09-27,,,,,,,,9.4,14.0,,,14.0,,
2704,2006-09-28,,,,,,,,9.45,13.1,,,13.1,,
2705,2006-09-29,,,,,,,,8.34,14.4,,,14.4,,
2706,2006-09-30,,,,,,,,9.53,13.8,,,13.8,,
2707,2006-10-01,,,,,,,,9.11,13.7,,,13.7,,
2708,2006-10-02,,,,,,,,9.64,12.1,,,12.1,,
2709,2006-10-03,,,,,,,,9.53,13.1,,,13.1,,
2710,2006-10-04,,,,,,,,9.12,13.6,,,13.6,,
2711,2006-10-05,,,,,,,,9.86,13.6,,,13.6,,
2712,2006-10-06,,,,,,,,9.52,12.5,,,12.5,,
2713,2006-10-07,,,,,,,,9.55,11.9,,,11.9,,
2714,2006-10-08,,,,,,,,9.81,10.1,,,10.1,,
2715,2006-10-09,,,,,,,,9.39,12.0,,,12.0,,
2716,2006-10-10,,,,,,,,8.67,10.3,,,10.3,,
2717,2006-10-11,,,,,,,,9.05,11.1,,,11.1,,
2718,2006-10-12,,,,,,,,9.57,10.7,,,10.7,,
2719,2006-10-13,,,,,,,,9.86,9.3,,,9.3,,
2720,2006-10-14,,,,,,,,10.05,9.23,,,9.23,,
2721,2006-10-15,,,,,,,,9.54,7.8,,,7.8,,
2722,2006-10-16,,,,,,,,9.3,10.8,,,10.8,,
2723,2006-10-17,,,,,,,,9.28,10.6,,,10.6,,
2724,2006-10-18,,,,,,,,8.68,11.0,,,11.0,,
2725,2006-10-19,,,,,,,,9.5,9.87,,,9.87,,
2726,2006-10-20,,,,,,,,9.92,7.94,,,7.94,,
2727,2006-10-21,,,,,,,,10.93,7.32,,,7.32,,
2728,2006-10-22,,,,,,,,10.84,6.13,,,6.13,,
2729,2006-10-23,,,,,,,,10.19,7.97,,,7.97,,
2730,2006-10-24,,,,,,,,10.1,7.74,,,7.74,,
2731,2006-10-25,,,,,,,,9.56,7.7,,,7.7,,
2732,2006-10-26,,,,,,,,9.65,8.52,,,8.52,,
2733,2006-10-27,,,,,,,,9.95,8.32,,,8.32,,
2734,2006-10-28,,,,,,,,9.7,7.65,,,7.65,,
2735,2006-10-29,,,,,,,,9.61,7.12,,,7.12,,
2736,2006-10-30,,,,,,,,9.02,8.97,,,8.97,,
2737,2006-10-31,,,,,,,,9.01,9.56,,,9.56,,
2738,2006-11-01,,,,,,,,,8.04,,,8.04,,
2739,2006-11-02,,,,,,,,9.64,7.49,,,7.49,,
2740,2006-11-03,,,,,,,,9.11,9.55,,,9.55,,
2741,2006-11-04,,,,,,,,9.89,8.64,,,8.64,,
2742,2006-11-05,,,,,,,,9.73,6.67,,,6.67,,
2743,2006-11-06,,,,,,,,8.82,8.03,,,8.03,,
2744,2006-11-07,,,,,,,,9.28,8.66,,,8.66,,
2745,2006-11-08,,,,,,,,8.42,10.8,,,10.8,,
2746,2006-11-09,,,,,,,,8.6,7.69,,,7.69,,
2747,2006-11-10,,,,,,,,9.06,6.67,,,6.67,,
2748,2006-11-11,,,,,,,,9.34,6.83,,,6.83,,
2749,2006-11-12,,,,,,,,9.24,5.86,,,5.86,,
2750,2006-11-13,,,,,,,,9.3,7.81,,,7.81,,
2751,2006-11-14,,,,,,,,9.08,6.82,,,6.82,,
2752,2006-11-15,,,,,,,,8.85,6.2,,,6.2,,
2753,2006-11-16,,,,,,,,9.14,6.2,,,6.2,,
2754,2006-11-17,,,,,,,,8.9,6.15,,,6.15,,
2755,2006-11-18,,,,,,,,9.61,5.63,,,5.63,,
2756,2006-11-19,,,,,,,,9.31,6.57,,,6.57,,
2757,2006-11-20,,,,,,,,8.7,8.96,,,8.96,,
2758,2006-11-21,,,,,,,,9.16,10.1,,,10.1,,
2759,2006-11-22,,,,,,,,9.37,9.92,,,9.92,,
2760,2006-11-23,,,,,,,,9.62,8.81,,,8.81,,
2761,2006-11-24,,,,,,,,8.51,10.2,,,10.2,,
2762,2006-11-25,,,,,,,,9.38,15.5,,,15.5,,
2763,2006-11-26,,,,,,,,8.93,14.1,,,14.1,,
2764,2006-11-27,,,,,,,,9.01,14.1,,,14.1,,
2765,2006-11-28,,,,,,,,9.16,13.8,,,13.8,,
2766,2006-11-29,,,,,,,,8.56,14.5,,,14.5,,
2767,2006-11-30,,,,,,,,9.17,14.9,,,14.9,,
2768,2006-12-01,,,,,,,,8.44,15.4,,,15.4,,
2769,2006-12-02,,,,,,,,9.71,14.6,,,14.6,,
2770,2006-12-03,,,,,,,,8.74,12.3,,,12.3,,
2771,2006-12-04,,,,,,,,9.39,15.0,,,15.0,,
2772,2006-12-05,,,,,,,,8.37,12.6,,,12.6,,
2773,2006-12-06,,,,,,,,9.34,13.5,,,13.5,,
2774,2006-12-07,,,,,,,,8.3,11.7,,,11.7,,
2775,2006-12-08,,,,,,,,9.44,13.0,,,13.0,,
2776,2006-12-09,,,,,,,,10.39,14.8,,,14.8,,
2777,2006-12-10,,,,,,,,9.46,13.8,,,13.8,,
2778,2006-12-11,,,,,,,,8.3,14.0,,,14.0,,
2779,2006-12-12,,,,,,,,9.73,12.5,,,12.5,,
2780,2006-12-13,,,,,,,,8.79,13.2,,,13.2,,
2781,2006-12-14,,,,,,,,8.58,13.4,,,13.4,,
2782,2006-12-15,,,,,,,,10.05,14.7,,,14.7,,
2783,2006-12-16,,,,,,,,10.88,14.6,,,14.6,,
2784,2006-12-17,,,,,,,,9.53,15.2,,,15.2,,
2785,2006-12-18,,,,,,,,8.77,16.3,,,16.3,,
2786,2006-12-19,,,,,,,,8.35,14.5,,,14.5,,
2787,2006-12-20,,,,,,,,8.66,16.2,,,16.2,,
2788,2006-12-21,,,,,,,,8.76,16.8,,,16.8,,
2789,2006-12-22,,,,,,,,8.7,17.0,,,17.0,,
2790,2006-12-23,,,,,,,,9.28,17.0,,,17.0,,
2791,2006-12-24,,,,,,,,9.24,16.4,,,16.4,,
2792,2006-12-25,,,,,,,,8.64,16.5,,,16.5,,
2793,2006-12-26,,,,,,,,8.12,19.7,,,19.7,,
2794,2006-12-27,,,,,,,,9.2,18.4,,,18.4,,
2795,2006-12-28,,,,,,,,8.47,17.3,,,17.3,,
2796,2006-12-29,,,,,,,,8.85,15.8,,,15.8,,
2797,2006-12-30,,,,,,,,8.77,17.2,,,17.2,,
2798,2006-12-31,,,,,,,,8.92,17.9,,,17.9,,
2799,2007-01-01,,,,,,,,8.81,18.4,,,18.4,,
2800,2007-01-02,,,,,,,,8.83,19.6,,,19.6,,
2801,2007-01-03,,,,,,,,8.62,17.6,,,17.6,,
2802,2007-01-04,,,,,,,,8.54,20.3,,,20.3,,
2803,2007-01-05,,,,,,,,8.65,23.6,,,23.6,,
2804,2007-01-06,,,,,,,,8.79,23.1,,,23.1,,
2805,2007-01-07,,,,,,,,8.97,20.0,,,20.0,,
2806,2007-01-08,,,,,,,,8.34,22.0,,,22.0,,
2807,2007-01-09,,,,,,,,8.52,22.0,,,22.0,,
2808,2007-01-10,,,,,,,,8.42,21.2,,,21.2,,
2809,2007-01-11,,,,,,,,8.57,21.4,,,21.4,,
2810,2007-01-12,,,,,,,,8.66,21.0,,,21.0,,
2811,2007-01-13,,,,,,,,8.61,20.4,,,20.4,,
2812,2007-01-14,,,,,,,,8.4,19.9,,,19.9,,
2813,2007-01-15,,,,,,,,8.68,20.3,,,20.3,,
2814,2007-01-16,,,,,,,,8.38,18.6,,,18.6,,
2815,2007-01-17,,,,,,,,8.35,21.2,,,21.2,,
2816,2007-01-18,,,,,,,,8.0,20.5,,,20.5,,
2817,2007-01-19,,,,,,,,8.04,20.4,,,20.4,,
2818,2007-01-20,,,,,,,,8.52,21.2,,,21.2,,
2819,2007-01-21,,,,,,,,8.49,20.3,,,20.3,,
2820,2007-01-22,,,,,,,,8.13,21.1,,,21.1,,
2821,2007-01-23,,,,,,,,8.7,22.3,,,22.3,,
2822,2007-01-24,,,,,,,,7.82,22.8,,,22.8,,
2823,2007-01-25,,,,,,,,8.02,22.5,,,22.5,,
2824,2007-01-26,,,,,,,,8.35,21.9,,,21.9,,
2825,2007-01-27,,,,,,,,8.51,20.4,,,20.4,,
2826,2007-01-28,,,,,,,,8.48,19.9,,,19.9,,
2827,2007-01-29,,,,,,,,7.48,20.6,,,20.6,,
2828,2007-01-30,,,,,,,,10.13,20.2,,,20.2,,
2829,2007-01-31,,,,,,,,9.52,20.4,,,20.4,,
2830,2007-02-01,,,,,,,,8.6,18.5,,,18.5,,
2831,2007-02-02,,,,,,,,8.66,20.2,,,20.2,,
2832,2007-02-03,,,,,,,,8.48,22.1,,,22.1,,
2833,2007-02-04,,,,,,,,9.22,19.2,,,19.2,,
2834,2007-02-05,,,,,,,,8.7,19.2,,,19.2,,
2835,2007-02-06,,,,,,,,9.0,19.1,,,19.1,,
2836,2007-02-07,,,,,,,,9.04,19.1,,,19.1,,
2837,2007-02-08,,,,,,,,8.85,19.2,,,19.2,,
2838,2007-02-09,,,,,,,,8.99,19.9,,,19.9,,
2839,2007-02-10,,,,,,,,9.47,20.9,,,20.9,,
2840,2007-02-11,,,,,,,,9.19,20.9,,,20.9,,
2841,2007-02-12,,,,,,,,9.69,20.2,,,20.2,,
2842,2007-02-13,,,,,,,,9.92,19.9,,,19.9,,
2843,2007-02-14,,,,,,,,9.15,20.2,,,20.2,,
2844,2007-02-15,,,,,,,,9.57,20.1,,,20.1,,
2845,2007-02-16,,,,,,,,10.13,20.0,,,20.0,,
2846,2007-02-17,,,,,,,,8.78,20.2,,,20.2,,
2847,2007-02-18,,,,,,,,8.59,19.3,,,19.3,,
2848,2007-02-19,,,,,,,,9.04,21.1,,,21.1,,
2849,2007-02-20,,,,,,,,8.82,20.3,,,20.3,,
